date,open,high,low,close,volume
2020-10-05,10,10,10,10,200
2020-10-06,9.83,9.9,9.83,9.9,6500
2020-10-07,9.93,9.93,9.92,9.92,1600
2020-10-08,9.92,9.92,9.92,9.92,0
2020-10-09,10.04,10.04,9.81,9.895,54900
2020-10-12,10.1,10.1,9.86,9.86,13700
2020-10-13,9.9,9.9,9.9,9.9,800
2020-10-14,9.9,9.9,9.795,9.87,4600
2020-10-15,9.9,9.9,9.85,9.85,4200
2020-10-16,9.9,9.93,9.81,9.88,42200
2020-10-19,9.95,10.04,9.88,9.945,61700
2020-10-20,10.09,10.09,9.97,9.97,10100
2020-10-21,10.6,10.6,10,10.14,355300
2020-10-22,10.35,10.35,10.03,10.08,55900
2020-10-23,10.03,10.11,10.03,10.03,202100
2020-10-26,10.01,10.11,9.9,10,281600
2020-10-27,10.4,10.43,10.11,10.26,5282200
2020-10-28,10.45,10.5,10.17,10.27,1277600
2020-10-29,10.3,10.36,9.93,10.1,822600
2020-10-30,10,10.1,10,10.05,414800
2020-11-02,10.23,10.34,10.05,10.11,279100
2020-11-03,10.1,10.165,10.09,10.1,271000
2020-11-04,10.2,10.2,10.07,10.09,267700
2020-11-05,10.2,10.255,10.12,10.25,1383900
2020-11-06,10.24,10.39,10.164,10.36,896600
2020-11-09,10.45,10.45,10.3,10.3,320800
2020-11-10,10.3,10.35,10.2,10.2,59100
2020-11-11,10.1,10.24,10.1,10.17,436400
2020-11-12,10.22,10.25,10.1,10.11,862900
2020-11-13,10.29,10.29,10.11,10.11,187300
2020-11-16,10.11,10.16,10.06,10.15,268500
2020-11-17,10.1,10.24,10.06,10.21,791200
2020-11-18,10.21,10.39,10.08,10.28,534200
2020-11-19,10.19,10.29,10.17,10.2,68000
2020-11-20,10.3,10.69,10.2,10.48,1066800
2020-11-23,10.45,10.55,10.31,10.5,968900
2020-11-24,10.5,10.5,10.26,10.49,904500
2020-11-25,10.41,10.98,10.35,10.9,634900
2020-11-27,11.2,11.2,10.81,11.01,971800
2020-11-30,11.39,11.39,10.8,11.05,1177000
2020-12-01,11.36,11.45,10.85,10.9,1479800
2020-12-02,10.85,10.85,10.6,10.75,1043200
2020-12-03,10.8,11.07,10.74,11,1497200
2020-12-04,10.8,11.25,10.77,11.16,1005500
2020-12-07,11.45,11.7,11.26,11.4,3219000
2020-12-08,11.5,11.68,11.27,11.6,1854800
2020-12-09,12.98,14.28,12.52,13.8,9605200
2020-12-10,12.69,14.046,12.68,13.45,3311000
2020-12-11,13.61,14.2,12.75,12.98,3137900
2020-12-14,13.65,14.19,12.53,13.1,2815800
2020-12-15,13.03,13.4,12.71,13,1297500
2020-12-16,12.82,13.05,12.02,13,2554000
2020-12-17,12.69,14.28,12.69,14.28,2394500
2020-12-18,14.05,15.48,14.05,15.3,4324000
2020-12-21,14.56,16.5,14.55,16.450001,1766700
2020-12-22,16.48,16.84,15.3,15.9,3284600
2020-12-23,16.1,17.35,15.94,16.58,1753600
2020-12-24,17.299999,17.299999,16.299999,16.610001,1172700
2020-12-28,17.5,17.5,16.299999,16.43,1036000
2020-12-29,16.43,16.739,15.61,16.639999,1146700
2020-12-30,16.5,17.290001,16.26,17.17,1899200
2020-12-31,17,17.59,16.809999,17.59,594300
