date,open,high,low,close,volume
1980-01-02,3.010041,3.052066,3.010041,3.015294,1165973
1980-01-03,2.994281,2.994281,2.947003,2.973269,1453896
1980-01-04,2.978522,3.0258,2.978522,3.0258,1382510
1980-01-07,3.0258,3.052066,3.010041,3.010041,1087448
1980-01-08,3.010041,3.036306,2.899725,2.899725,1213563
1980-01-09,2.899725,2.931244,2.815675,2.878713,9965497
1980-01-10,2.878713,2.883966,2.8577,2.8577,5922665
1980-01-11,2.8577,2.873459,2.847194,2.862953,5394408
1980-01-14,2.862953,2.931244,2.862953,2.920738,4000000
1980-01-15,2.94175,3.015294,2.94175,3.015294,1886972
1980-01-16,3.0258,3.062572,3.0258,3.041559,5077930
1980-01-17,3.041559,3.052066,3.0258,3.041559,1208804
1980-01-18,3.041559,3.099344,3.041559,3.083584,1123141
1980-01-21,3.115103,3.167634,3.115103,3.167634,1487210
1980-01-22,3.167634,3.225419,3.157128,3.183394,1380131
1980-01-23,3.183394,3.204406,3.162381,3.178141,899465
1980-01-24,3.293709,3.340988,3.293709,3.298963,2329566
1980-01-25,3.288456,3.288456,3.246431,3.272697,863772
1980-01-28,3.272697,3.314722,3.256938,3.288456,1727543
1980-01-29,3.288456,3.335734,3.288456,3.288456,949435
1980-01-30,3.288456,3.298963,3.27795,3.288456,701963
1980-01-31,3.288456,3.335734,3.256938,3.256938,987507
1980-02-01,3.256938,3.293709,3.256938,3.293709,623438
1980-02-04,3.293709,3.319975,2.968016,3.288456,759072
1980-02-05,3.309469,3.456556,3.309469,3.456556,1955979
1980-02-06,3.519594,3.761238,3.519594,3.635163,3205235
1980-02-07,3.635163,3.897819,3.635163,3.8663,8009518
1980-02-08,3.8663,4.044906,3.740225,4.0344,3726353
1980-02-11,4.0344,4.11845,3.95035,3.966109,4266508
1980-02-12,3.960856,3.960856,3.855794,3.939844,3612136
1980-02-13,3.939844,3.960856,3.897819,3.95035,2558001
1980-02-14,3.945097,3.945097,3.761238,3.803263,2776919
1980-02-15,3.803263,3.861047,3.761238,3.855794,3792980
1980-02-19,3.855794,3.924084,3.850541,3.924084,3395598
1980-02-20,3.924084,3.981869,3.913578,3.981869,1641880
1980-02-21,3.981869,4.107944,3.966109,4.044906,2108269
1980-02-22,4.044906,4.244525,3.981869,4.149969,3788221
1980-02-25,4.149969,4.186741,4.023894,4.0344,1284949
1980-02-26,4.0344,4.097438,4.002881,4.081678,1701368
1980-02-27,4.081678,4.128956,3.934591,3.971363,1665675
1980-02-28,3.971363,4.039653,3.897819,3.918831,2041642
1980-02-29,3.929338,4.023894,3.929338,3.960856,1901249
1980-03-03,3.960856,3.987122,3.929338,3.929338,1408685
1980-03-04,3.929338,3.960856,3.913578,3.960856,1513385
