date,open,high,low,close,volume
2020-06-12,10.07,10.333,10.07,10.2,1441900
2020-06-15,10.25,10.5,10.192,10.33,212300
2020-06-16,11.36,11.36,10.25,10.4,410300
2020-06-17,10.5,10.6,10.39,10.5,403600
2020-06-18,10.4,10.77,10.35,10.6,130400
2020-06-19,10.88,10.88,10.44,10.6,1283800
2020-06-22,10.94,12.52,10.55,11.02,2315700
2020-06-23,11.2,11.5,10.98,11.08,447800
2020-06-24,11.21,11.25,10.6,10.95,365500
2020-06-25,11.22,11.22,10.73,10.99,238800
2020-06-26,11.27,11.27,10.56,10.94,271800
2020-06-29,11.04,11.24,10.775,11.03,193100
2020-06-30,11.3,11.35,10.9,11.18,739600
2020-07-01,11.25,11.25,10.89,10.96,348300
2020-07-02,11.25,11.25,10.79,10.85,275400
2020-07-06,11.23,11.23,10.8,10.94,365800
2020-07-07,11.23,11.23,10.7,10.84,286500
2020-07-08,10.87,10.99,10.66,10.82,285700
2020-07-09,10.98,10.99,10.73,10.99,172500
2020-07-10,11.25,11.4,11.03,11.23,985700
2020-07-13,11.4,11.5,10.92,11.1,521600
2020-07-14,11.02,11.2,10.82,10.97,435500
2020-07-15,11.1,11.2,10.97,10.99,837800
2020-07-16,11.35,11.35,10.94,10.95,344900
2020-07-17,11.05,11.19,10.96,11.05,364100
2020-07-20,11.09,11.19,10.94,11.16,1471200
2020-07-21,11.21,11.34,11.08,11.13,1933000
2020-07-22,11.39,11.4,11.09,11.2,1672800
2020-07-23,11.21,11.33,10.9,11.02,1235700
2020-07-24,11.1,11.15,10.96,11.07,366500
2020-07-27,11.2,11.61,11.04,11.07,1434900
2020-07-28,11.11,11.2,10.97,11,631500
2020-07-29,10.97,11,10.74,10.85,431300
2020-07-30,10.9,10.9,10.57,10.65,1069500
2020-07-31,10.72,10.79,10.3,10.55,1290400
2020-08-03,10.75,10.75,10.38,10.6,1343200
2020-08-04,10.63,10.73,10.48,10.58,220900
2020-08-05,10.7,10.7,10.51,10.65,279400
2020-08-06,10.64,10.7,10.55,10.6,319300
2020-08-07,10.68,10.73,10.5,10.5,840900
2020-08-10,10.65,10.65,10.49,10.49,686600
2020-08-11,10.64,10.65,10.48,10.5,720500
2020-08-12,10.55,10.59,10.49,10.51,1860300
2020-08-13,10.57,10.58,10.45,10.5,859300
2020-08-14,10.5,10.56,10.48,10.5,235900
2020-08-17,10.5,10.65,10.5,10.57,382900
2020-08-18,10.6,10.6,10.44,10.49,533300
2020-08-19,10.55,10.59,10.4,10.48,488400
2020-08-20,10.53,10.53,10.35,10.39,226600
2020-08-21,10.5,10.5,10.35,10.5,180000
2020-08-24,10.5,10.59,10.36,10.59,593800
2020-08-25,10.55,10.55,10.4,10.55,512600
2020-08-26,10.58,10.65,10.45,10.45,500100
2020-08-27,10.55,10.55,10.36,10.42,504700
2020-08-28,10.5,10.5,10.36,10.43,129700
2020-08-31,10.5,10.52,10.4,10.5,1071100
2020-09-01,10.53,10.62,10.48,10.56,285400
2020-09-02,10.58,10.75,10.57,10.69,1404400
2020-09-03,10.75,10.84,10.55,10.72,537000
2020-09-04,10.84,11.12,10.65,10.95,1541400
2020-09-08,10.86,11.33,10.76,11.1,1498100
2020-09-09,10.88,11.14,10.85,11.1,495300
2020-09-10,11.12,11.35,10.9,11.2,1292000
2020-09-11,11.6,11.69,11.15,11.58,855100
2020-09-14,11.74,11.83,11.521,11.75,668600
2020-09-15,12.14,12.58,11.79,12.15,5531100
2020-09-16,12.16,12.52,12.01,12.2,2387300
2020-09-17,12,13.35,11.95,12.4,2133400
2020-09-18,12.51,12.74,12.25,12.56,922000
2020-09-21,12.71,12.78,11.7,11.93,1970900
2020-09-22,11.99,12.249,11.88,12,1336200
2020-09-23,12.18,12.2,11.5,11.66,1714200
2020-09-24,11.42,11.9,11.05,11.65,1071300
2020-09-25,11.59,11.99,11.55,11.98,688900
2020-09-28,12.14,12.4,11.88,12.4,972800
2020-09-29,12.5,13.17,12.31,13.14,1845300
2020-09-30,13.02,13.22,12.35,12.46,1387000
2020-10-01,12.78,12.94,12.4,12.94,771100
2020-10-02,12.33,13.04,12.33,12.93,1004700
2020-10-05,13.19,13.19,12.49,12.68,1209300
2020-10-06,11.28,11.79,10.7,10.97,27822300
2020-10-07,11.05,11.34,10.51,10.7,8075700
2020-10-08,10.76,10.8,10.52,10.6,5244300
2020-10-09,10.75,10.78,10.31,10.57,8507800
2020-10-12,10.75,10.77,10.61,10.68,3234900
2020-10-13,10.7,10.79,10.47,10.59,2289800
2020-10-14,10.68,10.68,10.345,10.52,3035300
2020-10-15,10.4,10.55,10.352,10.47,1751200
2020-10-16,10.65,11.005,10.57,10.68,4720800
2020-10-19,10.72,10.88,10.51,10.64,1402800
2020-10-20,10.58,10.594,10.25,10.35,3004700
2020-10-21,10.33,10.35,10.1,10.22,3893000
2020-10-22,10.24,10.285,10.09,10.15,6352700
2020-10-23,10.2,10.25,10.08,10.2,2620600
2020-10-26,10.11,10.21,10.02,10.1,2814500
2020-10-27,10.06,10.15,10.06,10.08,1278200
2020-10-28,10,10.05,9.91,9.99,3894600
2020-10-29,9.98,9.995,9.938,9.98,4225900
2020-10-30,9.9,10.04,9.87,10.02,2343600
2020-11-02,9.95,9.99,9.92,9.98,832600
2020-11-03,9.97,10,9.94,9.99,680200
2020-11-04,9.97,10.11,9.97,10.06,998900
