date,open,high,low,close,volume
2019-05-02,20.25,23.375999,19.76,22.360001,4428700
2019-05-03,22.1,25.988001,21.381001,24.799999,946200
2019-05-06,22.98,28.18,22.110001,27.41,535100
2019-05-07,26.93,27.42,24.01,26.290001,768200
2019-05-08,26.129999,26.129999,24.41,25,542200
2019-05-09,24.959999,26.440001,24.351999,25.190001,147400
2019-05-10,25.15,26.73,24.83,26.73,178300
2019-05-13,26.58,27.76,25.134001,26.99,177700
2019-05-14,27.41,27.941,26.09,27.18,193500
2019-05-15,26.9,27.99,26.450001,27.049999,178900
2019-05-16,26.9,29,26.9,28.84,147300
2019-05-17,29,29.799999,26.924,29.610001,92300
2019-05-20,29.5,30.5,29,29.68,136300
2019-05-21,29.809999,30.450001,29.66,30,98800
2019-05-22,29.9,31.27,29.67,30.41,132100
2019-05-23,30.139999,31.540001,28,28.870001,165900
2019-05-24,29.049999,30.309999,28.75,28.879999,53700
2019-05-28,28.66,31.23,28.629999,30.139999,246600
2019-05-29,30,30.129999,26.440001,26.5,358000
2019-05-30,26.860001,28.440001,24.75,27.34,263700
2019-05-31,27.299999,28.049999,26.405001,27.190001,271900
2019-06-03,26.9,28,26.57,27.639999,132500
2019-06-04,28.01,29,26.67,27.950001,138500
2019-06-05,28,28.459999,26.51,26.82,128800
2019-06-06,27,27.299999,25.52,26.469999,226100
2019-06-07,26.82,27.870001,26.309999,26.5,161800
2019-06-10,26.950001,28,25.799999,26.58,138200
2019-06-11,26.73,27.190001,25.790001,26.51,91200
2019-06-12,26.549999,26.905001,25.030001,25.969999,252800
2019-06-13,25.780001,26.254999,24.610001,24.92,231100
2019-06-14,25.110001,26.370001,24.76,26.02,555300
2019-06-17,26.040001,26.950001,25.315001,26.49,180700
2019-06-18,26.709999,28.139999,25.655001,28,164600
2019-06-19,28.049999,28.280001,26.610001,27.23,124100
2019-06-20,27.52,29.531,27.049999,27.99,218200
2019-06-21,27.370001,28.610001,26.26,27.02,441500
2019-06-24,27.110001,28.690001,26.870001,28.16,302000
2019-06-25,28.17,28.309999,27.219999,28,113900
2019-06-26,28.059999,28.450001,27.51,27.860001,51400
2019-06-27,27.889999,28.33,27.58,27.74,121600
2019-06-28,27.690001,29.700001,27.690001,28.99,960800
2019-07-01,29.48,30.174999,28.575001,28.93,137400
2019-07-02,28.9,28.9,26.59,26.93,144400
2019-07-03,26.950001,27.256001,26.42,26.530001,53200
2019-07-05,26.52,26.76,25.76,26.059999,239900
2019-07-08,26.280001,27.02,25.26,25.9,356700
2019-07-09,25.76,26.99,24.870001,25.5,431700
2019-07-10,25.620001,26.219999,25.096001,25.559999,194200
2019-07-11,25.639999,26,25.280001,25.5,81900
2019-07-12,25.48,25.975,25.040001,25.5,64600
2019-07-15,25.52,25.73,25,25.299999,66900
2019-07-16,25.190001,25.440001,23.74,23.790001,87100
2019-07-17,23.780001,24.09,22.709999,23.25,91600
2019-07-18,23.24,25.040001,22.85,24.85,176000
2019-07-19,24.799999,26.16,24.709999,25.93,231300
2019-07-22,26.139999,26.690001,25.639999,25.690001,35200
2019-07-23,25.77,27.35,25.225,26.860001,92800
2019-07-24,26.75,27.280001,26.25,26.67,45000
2019-07-25,26.629999,27.42,26.27,26.83,43300
2019-07-26,26.93,27.294001,25.629999,25.9,67100
2019-07-29,25.82,26.290001,25,25.559999,37600
2019-07-30,25.870001,25.870001,23.209999,25.139999,84200
2019-07-31,25.200001,26.1,23.360001,23.73,96400
2019-08-01,23.5,24,22.632,23.65,133700
2019-08-02,23.65,23.65,22.67,23.26,100400
2019-08-05,22.799999,23.16,21.290001,21.889999,150500
