date,open,high,low,close,volume
2020-10-16,36,43.799999,33.68,33.68,6544200
2020-10-19,34.099998,38.5,33.25,35.07,1020300
2020-10-20,35.279999,36.700001,32.580002,33.849998,612900
2020-10-21,33.799999,35.407001,33.799999,34.549999,369100
2020-10-22,34.799999,35.990002,34,35.700001,241300
2020-10-23,36.049999,38.25,35.990002,38.25,296400
2020-10-26,37.110001,38.57,35.360001,36.009998,263600
2020-10-27,36.360001,37.581001,35.98,36.580002,176100
2020-10-28,35.82,38.25,35.778,36.959999,230300
2020-10-29,36.919998,37.5,33.779999,35.07,406400
2020-10-30,34.599998,35.380001,33.869999,34.650002,114700
2020-11-02,34.700001,35.299999,33,33.5,349600
2020-11-03,33.599998,34.91,33.465,34.779999,168600
2020-11-04,34.509998,35.490002,33.900002,35,264100
2020-11-05,35,35.464001,33.880001,35,235900
2020-11-06,34.610001,35.189999,33.860001,34.75,257600
2020-11-09,35,35.869999,33.689999,34.299999,306400
2020-11-10,34.790001,34.990002,33.59,33.900002,335700
2020-11-11,34.09,34.849998,33.330002,34.52,269000
2020-11-12,34.610001,36.490002,34.299999,35.119999,301800
2020-11-13,35,35.130001,34,34.400002,98200
2020-11-16,34.650002,35.09,33.23,34.830002,268600
2020-11-17,34.799999,35,33.41,33.490002,252700
2020-11-18,33.619999,35.68,33.619999,35.59,295100
2020-11-19,35.66,39.66,35.619999,36,614000
2020-11-20,34.139999,36.110001,33.896999,35.759998,567000
2020-11-23,35.849998,36.959999,35,36.549999,328200
2020-11-24,35.592999,42.43,35.592999,41.849998,436900
2020-11-25,41.110001,45.98,40.240002,45.950001,295600
2020-11-27,46.360001,49.990002,46,49.75,131500
2020-11-30,49.27,53.290001,44.009998,50.110001,654500
2020-12-01,50.369999,54.970001,49.115002,51.799999,390200
2020-12-02,51.060001,51.060001,46.529999,47.360001,253700
2020-12-03,47.009998,48,44.939999,46.580002,231800
2020-12-04,46.939999,50.41,45.619999,49.450001,358800
2020-12-07,48.75,50.810001,47.73,47.959999,273800
2020-12-08,47.740002,49.990002,47.43,48.650002,240600
2020-12-09,48.490002,49.900002,46.759998,46.889999,256000
2020-12-10,46.5,49.880001,46.009998,47.990002,136200
2020-12-11,47.919998,58.484001,47.59,56.98,660900
2020-12-14,57.470001,59.799999,47,47.470001,639500
2020-12-15,47.849998,49.799999,45.59,48.349998,422900
2020-12-16,48.349998,52.970001,47.794998,50.700001,544500
2020-12-17,51.150002,53.5,49.924999,50.68,653600
2020-12-18,50,51.470001,47.02,47.540001,2054200
2020-12-21,47,49.360001,46.360001,47.5,387900
2020-12-22,47.490002,58.52,47,57.939999,728100
2020-12-23,57.470001,58.09,54.564999,55.299999,291000
2020-12-24,55.18,62.349998,53.16,53.75,291900
2020-12-28,54.310001,55,50.52,51.32,190600
2020-12-29,51.130001,51.895,48.380001,50,116900
2020-12-30,50.169998,50.810001,46.900002,47.91,249600
2020-12-31,48.080002,49.110001,44.014999,44.82,196300
2021-01-04,45.189999,46.418999,41.540001,42.5,405400
2021-01-05,42.560001,47.411999,42,46.349998,369800
2021-01-06,45.400002,46.459999,43.57,45.650002,272900
2021-01-07,46.099998,49.18,44.02,47.330002,242100
2021-01-08,47.669998,50.5,45.82,49.889999,266800
2021-01-11,49.799999,51.950001,48.369999,51.299999,190200
2021-01-12,54.029999,55.759998,50.529999,53.919998,500900
2021-01-13,53.779999,62.990002,53.5,59.779999,601500
2021-01-14,60.419998,61.290001,54.73,56.32,323500
2021-01-15,56.310001,56.84,52.845001,54.779999,192200
2021-01-19,50.799999,57.560001,50.799999,54.91,485000
2021-01-20,55.080002,60.040001,53.904999,55.799999,262600
2021-01-21,56.09,58.939999,54.509998,56.669998,260100
2021-01-22,56.279999,63.669998,55.939999,63,510700
2021-01-25,63.049999,63.700001,56.57,62.400002,310000
2021-01-26,62.450001,62.900002,54.389999,56.990002,526800
2021-01-27,55.02,57.959999,51.244999,57.009998,314500
2021-01-28,56.860001,56.860001,53,54.580002,251400
2021-01-29,54.43,54.77,50.525002,52.580002,267400
2021-02-01,53.220001,56.720001,51.889999,56.150002,278600
2021-02-02,56.259998,62.32,56.259998,60.09,275500
2021-02-03,60.799999,64.370003,59.700001,63.02,173500
2021-02-04,62.75,67.550003,62.75,64.57,169400
2021-02-05,65.32,65.654999,61.220001,64.379997,123400
2021-02-08,64.470001,71.32,62.259998,70.309998,222100
2021-02-09,71.300003,76.75,68,72.940002,485700
2021-02-10,73.5,76.165001,73.010002,75.370003,339000
2021-02-11,75.559998,76.75,68.360001,68.650002,241200
2021-02-12,68.519997,72.238998,66.940002,71.830002,222800
2021-02-16,72.339996,74.900002,68.940002,70.800003,198500
2021-02-17,69.839996,73.089996,67.75,68.779999,395800
2021-02-18,68.019997,71.419998,65.18,68.910004,157700
2021-02-19,68.779999,71.974998,67.940002,69.029999,101300
2021-02-22,68.389999,70.116997,63.27,63.610001,154900
2021-02-23,61,65.697998,57.040001,64.629997,252900
2021-02-24,64.360001,65.919998,62.52,63.959999,87400
2021-02-25,63.700001,63.990002,59.029999,61.16,197500
2021-02-26,59.419998,61,56.310001,58.41,235300
2021-03-01,59.889999,62.630001,56.189999,56.709999,229900
2021-03-02,56.939999,61.544998,55.880001,60.389999,174000
2021-03-03,61.450001,61.880001,55.630001,55.75,126700
2021-03-04,56.189999,57.443001,50.140999,54.060001,256000
2021-03-05,54.779999,56.669998,50.459999,55.669998,266000
2021-03-08,54.73,55.709999,48.779999,49.290001,158500
2021-03-09,50.41,52.779999,48.880001,51.330002,328600
2021-03-10,52.32,56.145,52.147999,54.57,214200
2021-03-11,55.450001,59.549999,54.700001,57.34,188500
2021-03-12,56.490002,62.470001,55.52,58.599998,174500
