date,open,high,low,close,volume
2018-10-31,16.049999,17,14.75,14.98,3031000
2018-11-01,14.9,14.9,13.07,14.5,445700
2018-11-02,14.95,15.88,14.67,15.07,641100
2018-11-05,15.15,15.75,14.75,14.75,266000
2018-11-06,14.85,15.35,14.75,14.9,272300
2018-11-07,15,15.75,14.85,15.63,869700
2018-11-08,15.51,15.51,14.8,15,177900
2018-11-09,15.03,15.14,14.55,14.84,315300
2018-11-12,14.85,15.22,14.85,15.01,79100
2018-11-13,15.15,15.59,14.52,15.5,167800
2018-11-14,15.56,15.58,14.98,15.14,81800
2018-11-15,15.2,15.49,14.59,15.15,279000
2018-11-16,15.1,15.5,14.93,15.05,135700
2018-11-19,15.05,15.25,14.8,15.2,46500
2018-11-20,15.15,15.15,13.5,14,81300
2018-11-21,14.22,14.85,14.1,14.73,19100
2018-11-23,14.87,14.92,14.13,14.92,16500
2018-11-26,15.24,15.39,14.35,14.99,186500
2018-11-27,15.14,15.25,14.51,14.82,44700
2018-11-28,14.77,14.77,13.95,14.09,113400
2018-11-29,14.13,14.24,13.11,13.4,199600
2018-11-30,13.38,13.72,11.95,13.2,143100
2018-12-03,13.23,14.08,13.1,14.01,247600
2018-12-04,13.87,14.52,13.24,14.34,200500
2018-12-06,14.26,14.99,13.94,14.8,218600
2018-12-07,14.81,15.75,13.67,15.17,140400
2018-12-10,15.33,16.65,15.23,16.1,155000
2018-12-11,15.99,16.889999,15.44,15.48,145700
2018-12-12,15.29,16.879999,15.29,16.43,160000
2018-12-13,16.52,16.6,15.56,15.96,67800
2018-12-14,15.99,16.75,15.8,16.299999,89000
2018-12-17,16.09,16.09,15.13,15.46,105800
2018-12-18,15.54,16.49,15.13,15.55,133200
2018-12-19,15.76,16.17,14.7,14.99,130700
2018-12-20,14.81,15.08,13.66,14.15,196800
2018-12-21,14.24,15.78,13.5,13.89,944400
2018-12-24,14.03,14.03,13.43,13.71,20300
2018-12-26,13.8,14.8,13.52,14.27,96700
2018-12-27,14.15,15.15,13.87,15.15,77600
2018-12-28,15.08,15.28,14.44,14.56,29200
2018-12-31,14.69,15.25,14.31,15.11,46800
2019-01-02,15,15.13,13.9,14.16,152500
2019-01-03,14.02,15.4,13.1,13.52,64100
2019-01-04,13.73,14.97,13.67,14.73,65300
2019-01-07,14.76,15.14,14.18,14.34,118100
2019-01-08,14.4,14.4,13.25,13.32,114700
2019-01-09,13.28,14.74,13,14.49,63800
2019-01-10,14.38,15.05,13.97,14.69,214000
2019-01-11,14.59,14.59,14,14.35,182700
