date,open,high,low,close,volume
2019-09-26,50.290001,50.290001,50.110001,50.141998,5600
2019-09-27,49.919998,49.919998,49.863998,49.863998,1100
2019-09-30,50.049999,50.240002,50.049999,50.145,2300
2019-10-01,50,50.009998,49.478001,49.478001,3700
2019-10-02,48.849998,48.849998,48.41,48.588001,1400
2019-10-03,48.240002,48.839001,48.240002,48.839001,18500
2019-10-04,49.189999,49.546001,49.189999,49.546001,60700
2019-10-07,49.395,49.395,49.395,49.395,100
2019-10-08,48.694,48.98,48.543999,48.543999,23500
2019-10-09,48.869999,49.040001,48.865002,48.997002,105000
2019-10-10,49,49.48,49,49.311001,24100
2019-10-11,49.84,50.330002,49.84,50.02,3100
2019-10-14,49.93,50,49.911999,49.911999,40200
2019-10-15,50.529999,50.544998,50.419998,50.419998,4400
2019-10-16,50.442001,50.442001,50.290001,50.304001,49200
2019-10-17,50.540001,50.669998,50.401001,50.500999,32600
2019-10-18,50.369999,50.470001,50.220001,50.368999,2400
2019-10-21,50.709999,50.73,50.650002,50.688,12500
2019-10-22,50.779999,50.810001,50.578999,50.578999,6400
2019-10-23,50.610001,50.672001,50.560001,50.672001,91000
2019-10-24,50.855,50.860001,50.639999,50.825001,2475700
2019-10-25,50.93,51.119999,50.93,51.088001,2400
2019-10-28,51.394001,51.439999,51.349998,51.383999,24500
2019-10-29,51.630001,51.630001,51.310001,51.377998,29600
2019-10-30,51.450001,51.450001,51.158001,51.368,6700
2019-10-31,51,51.096001,50.91,51.096001,6400
2019-11-01,51.689999,51.77,51.669998,51.743,21100
2019-11-04,52.02,52.145,52.02,52.076,24300
2019-11-05,52.299999,52.299999,52.105,52.105,41300
2019-11-06,52,52.080002,51.969002,52.056999,23500
2019-11-07,52.43,52.450001,52.198002,52.198002,11700
2019-11-08,52.150002,52.358002,52.150002,52.358002,43200
2019-11-11,52.271,52.285,52.240002,52.285,63700
2019-11-12,52.470001,52.540001,52.369999,52.389999,12400
2019-11-13,52.209999,52.360001,52.18,52.280998,13700
2019-11-14,52.369999,52.369999,52.23,52.361,4000
2019-11-15,52.560001,52.689999,52.540001,52.667,10100
2019-11-18,52.599998,52.740002,52.575001,52.668999,21700
2019-11-19,52.548,52.73,52.548,52.655998,8700
2019-11-20,52.599998,53.360001,52.169998,52.424999,9400
2019-11-21,52.375999,52.439999,52.290001,52.326,8600
2019-11-22,52.507999,52.507999,52.453999,52.48,1900
2019-11-25,52.938999,53.009998,52.929001,52.994999,3000
2019-11-26,53.009998,53.176998,53,53.117001,11900
2019-11-27,53.240002,53.380001,53.200001,53.380001,4200
2019-11-29,53.139999,53.290001,53.040001,53.056,9300
2019-12-02,52.970001,52.970001,52.580002,52.580002,64800
