date,open,high,low,close,volume
2020-11-20,9.746,9.932,9.746,9.811,1100
2020-11-23,9.9,10.4,9.89,9.899,12300
2020-11-24,10.4,10.4,9.75,9.8,45900
2020-11-25,9.975,9.99,9.79,9.95,16700
2020-11-27,10,10.43,9.97,10.03,58200
2020-11-30,10.53,10.9,9.88,9.945,178300
2020-12-01,10,10.1,10,10.089,13000
2020-12-02,10.05,10.16,9.88,10,15100
2020-12-03,10.01,10.02,9.91,9.91,12200
2020-12-04,10.04,10.31,9.99,10.14,142400
2020-12-07,10.36,10.45,9.99,10.31,131700
2020-12-08,10.69,10.69,10.04,10.09,75800
2020-12-09,10.07,10.25,10,10.2,101600
2020-12-10,10.26,10.26,10.04,10.13,68700
2020-12-11,10.23,10.76,10.2,10.49,179900
2020-12-14,10.74,10.74,10.35,10.5,63800
2020-12-15,10.63,10.66,10.19,10.36,73600
2020-12-16,10.4,10.5,10.15,10.49,75800
2020-12-17,10.41,10.8,10.41,10.48,19800
2020-12-18,10.63,10.63,10.35,10.4,50700
2020-12-21,10.59,10.59,10.5,10.53,52000
2020-12-22,10.46,10.845,10.46,10.63,83700
2020-12-23,10.71,11.32,10.665,11.025,315400
2020-12-24,11,11.38,10.76,10.929,362300
2020-12-28,11.23,11.24,10.85,10.95,102800
2020-12-29,11.01,11.01,10.48,10.76,181100
2020-12-30,10.75,10.77,10.64,10.74,166700
2020-12-31,10.81,10.88,10.6,10.71,46900
2021-01-04,10.92,10.92,10.53,10.53,109800
2021-01-05,10.6,10.7,10.5,10.59,50000
2021-01-06,10.6,10.71,10.44,10.55,171800
2021-01-07,10.71,11.07,10.6,10.98,121100
2021-01-08,11.34,11.34,10.817,10.83,94500
2021-01-11,11.26,11.5,11,11.5,143100
2021-01-12,11.5,13.49,11.385,11.89,340100
2021-01-13,12.4,13.35,12.105,12.8,535700
2021-01-14,13.11,13.25,12.84,13.1,512000
2021-01-15,13.2,13.28,12.54,12.55,214700
2021-01-19,12.62,15.01,12.47,13.22,1110000
2021-01-20,14.14,14.14,13.48,13.58,625000
2021-01-21,13.65,13.76,13,13.34,327800
2021-01-22,20.75,24,20,22,49810900
2021-01-25,22.49,23.5,19.5,19.67,10862100
2021-01-26,21.49,24.34,20.67,22.07,11536700
2021-01-27,21.459999,23.5,19.799999,20.1,6735800
2021-01-28,21.83,21.889999,20.4,20.91,3134600
2021-01-29,21,21.5,20.4,20.9,2015500
2021-02-01,21.85,21.950001,20.379999,20.969999,1744800
2021-02-02,21.110001,21.379,20.499001,20.6,1799600
2021-02-03,20.65,20.825001,20.200001,20.299999,1658300
2021-02-04,20.299999,20.42,19.690001,19.76,1913400
2021-02-05,20.030001,21.5,19.9,21.200001,2421000
2021-02-08,21.709999,21.790001,20.4,20.549999,2044900
2021-02-09,20.549999,20.700001,19.9,20.15,1790600
2021-02-10,20.049999,20.15,18.719999,19.049999,2284000
2021-02-11,20.299999,20.5,19.09,19.370001,2385700
2021-02-12,19.91,20.6,19.35,20.030001,1608100
2021-02-16,20,20.15,19.285,19.5,1239600
2021-02-17,19.32,19.360001,18.6,18.9,1432800
2021-02-18,18.49,18.549999,17.280001,17.790001,1546400
2021-02-19,18.1,18.639999,18.049999,18.1,815300
2021-02-22,18.09,18.4,16.76,16.950001,967800
2021-02-23,15.93,15.93,14,14.75,2043700
2021-02-24,15.5,16.68,15.45,16.4,1280700
2021-02-25,16.07,16.52,14.91,15.1,788200
2021-02-26,15,15.49,13.71,15.48,1304200
2021-03-01,16.790001,16.799999,14.91,15.48,1445400
2021-03-02,15.25,15.4,14.46,14.8,1088600
2021-03-03,14.69,14.782,13,13.03,1602800
2021-03-04,12.61,13.2,11.5,11.78,2235400
2021-03-05,12.12,13.5,10.56,13.05,2681300
2021-03-08,12.9,14.33,11.86,12.7,1369000
2021-03-09,13.28,13.77,12.75,13.67,760200
2021-03-10,14,14.18,12.86,12.92,870000
2021-03-11,13.29,14.41,13.1,14.36,1332600
2021-03-12,13.5,15,13.4,14.54,825400
2021-03-15,14.75,14.99,13.91,14.82,678200
2021-03-16,14.85,14.9,13.31,13.34,937000
2021-03-17,13.31,13.39,12.37,12.68,1639700
2021-03-18,12.5,12.56,11.8,11.83,1466700
2021-03-19,12.04,12.22,11.5,11.9,962900
2021-03-22,12.2,12.4,11.96,12.27,1039300
2021-03-23,12.3,12.46,12.06,12.43,1119100
2021-03-24,12.43,12.45,11.1,11.32,1124000
2021-03-25,11,11.63,11,11.59,854200
2021-03-26,11.88,12.16,11.303,12.02,851500
2021-03-29,12,12.44,11.83,12.25,729700
2021-03-30,12.01,12.73,11.45,12.4,1025500
2021-03-31,12.8,13.77,12.25,13.7,1821500
2021-04-01,14.45,14.5,12.82,13.65,1633700
2021-04-05,14.1,14.41,13.1,13.1,1230600
2021-04-06,13.16,13.964,13.1,13.68,670800
2021-04-07,13.81,14.46,13.52,14,1056100
2021-04-08,14.34,14.35,13.675,13.77,438200
2021-04-09,13.6,14.15,13.6,13.73,380300
2021-04-12,13.7,13.74,12.6,12.8,805600
2021-04-13,12.71,12.75,11.84,12.2,970500
2021-04-14,12.2,12.37,11.87,12.08,669500
2021-04-15,12.25,12.3,11.3,11.62,579100
2021-04-16,11.6,11.604,11.02,11.04,815200
2021-04-19,11.84,11.85,11.15,11.7,1162000
2021-04-20,11.79,12.063,11.19,11.27,630400
2021-04-21,11.43,12.18,11.34,12.15,577800
2021-04-22,12.77,13.35,12.35,12.69,1083200
2021-04-23,13.16,13.368,13.02,13.2,660100
2021-04-26,13.27,13.68,13.11,13.19,598800
2021-04-27,13.2,13.5,12.65,12.72,544000
2021-04-28,12.65,14.57,12.54,13.7,1579100
2021-04-29,13.99,14,12.7,13.18,623700
2021-04-30,13.05,13.313,12.84,13.05,361400
2021-05-03,13.28,13.29,12.38,12.39,576100
2021-05-04,12.18,12.253,11.687,11.99,451200
2021-05-05,12.11,12.23,11.75,11.77,194400
2021-05-06,11.78,11.88,11.1,11.43,445900
2021-05-07,11.64,11.74,11.43,11.65,239100
2021-05-10,11.72,11.72,11.1,11.22,417200
2021-05-11,10.93,11.44,10.773,11.13,497300
2021-05-12,11.09,11.35,11,11.05,369300
2021-05-13,11.06,11.1,10.55,10.77,543400
2021-05-14,10.95,11.1,10.847,11.05,352300
2021-05-17,11,11.22,10.85,10.98,276000
2021-05-18,10.94,11.13,10.85,10.97,502700
2021-05-19,10.85,11.41,10.71,11.23,458000
2021-05-20,11.48,11.69,11.43,11.47,264500
2021-05-21,11.68,11.68,11.15,11.21,188400
2021-05-24,11.29,11.38,11.02,11.33,241900
2021-05-25,11.45,11.45,11,11.12,238700
2021-05-26,11.11,11.48,11.07,11.25,374600
2021-05-27,11.48,11.48,11.11,11.14,337800
2021-05-28,11.4,11.4,11.03,11.08,409500
2021-06-01,11.22,11.323,11.09,11.25,475600
2021-06-02,11.29,12.6,11.1,12.02,1700000
2021-06-03,11.85,13.05,11.85,12.88,906800
2021-06-04,13.46,14.14,13.05,14.02,952700
2021-06-07,13.98,14.49,13.8,14.23,899900
2021-06-08,14.63,14.885,13.56,13.72,768900
2021-06-09,13.98,14.07,12.72,12.79,840300
2021-06-10,13.09,13.85,12.6,13.76,495800
2021-06-11,14,14.11,13.6,13.73,326600
2021-06-14,13.8,14.139,13.36,13.68,573000
2021-06-15,13.62,13.92,13.41,13.81,542500
2021-06-16,13.545,14.48,13.52,14.46,612200
2021-06-17,14.48,14.48,13.926,14.11,409400
2021-06-18,14.13,14.3,13.71,14,332300
2021-06-21,14,14.05,13.55,13.69,244800
2021-06-22,13.87,13.98,13.51,13.98,278100
2021-06-23,14.24,15.13,14.15,14.83,962400
2021-06-24,15.42,15.942,15.02,15.39,1088200
2021-06-25,15.87,16.49,15.62,16.17,944700
2021-06-28,16.450001,16.639999,15.676,16.5,691100
2021-06-29,16.5,16.549999,15.04,15.36,950300
2021-06-30,15.6,15.74,14.74,15.02,620700
2021-07-01,15.05,15.19,14.243,14.36,700700
2021-07-02,15,16.1,14.5,15.1,4015100
2021-07-06,16.209999,16.24,14,14.58,1780500
2021-07-07,14.4,14.632,13.5,13.73,1406300
2021-07-08,13.04,13.2,12.43,12.52,1807300
2021-07-09,12.86,12.88,11.87,11.93,2420000
2021-07-12,12.2,12.29,11.73,11.83,985800
2021-07-13,12,12.179,11.31,11.37,1184200
2021-07-14,11.58,11.82,10.55,10.58,2141300
2021-07-15,10.95,13.5,10.4,12.08,10502300
2021-07-16,12.22,12.67,11.58,11.77,1571900
