date,open,high,low,close,volume
2020-09-23,33.549999,44,31,40.799999,1978200
2020-09-24,39.52,39.990002,33.900002,37.5,445100
2020-09-25,36.16,48,35.672001,45,304700
2020-09-28,48.439999,51.889999,44.110001,46.5,312700
2020-09-29,46.849998,47.439999,41.43,44.07,155400
2020-09-30,41.68,47.23,41.599998,45.869999,136500
2020-10-01,45.32,47.220001,43.200001,43.200001,220700
2020-10-02,42.400002,43,41.220001,41.720001,203100
2020-10-05,42.560001,43.110001,41.73,42.860001,66600
2020-10-06,43.209999,43.720001,41.900002,42.599998,135300
2020-10-07,42.950001,43.950001,42.808998,43,137300
2020-10-08,42.709999,43.950001,40.02,43.900002,158200
2020-10-09,46.119999,46.419998,43.099998,44,223700
2020-10-12,45.029999,46.25,44.200001,45.599998,70100
2020-10-13,46.009998,48.91,45,48.5,45600
2020-10-14,48.889999,51.25,46.080002,46.75,132700
2020-10-15,47,47.181999,44.59,44.59,52200
2020-10-16,45.310001,49.950001,45.310001,49.169998,100200
2020-10-19,51.610001,57.25,50.755001,53.580002,224200
2020-10-20,53.599998,60.799999,53.599998,57.18,162100
2020-10-21,57.98,60.259998,49.369999,49.369999,150400
2020-10-22,50,52.779999,46.689999,47.02,82200
2020-10-23,47.470001,51.900002,47.200001,51.259998,63200
2020-10-26,51.119999,51.119999,46,49.209999,79400
2020-10-27,48.880001,51.470001,48.880001,50.669998,74900
2020-10-28,50.400002,50.924999,49.006001,49.639999,110800
2020-10-29,50.18,50.93,49.07,50.549999,120200
2020-10-30,50.549999,51.400002,45.43,46,202000
2020-11-02,47.630001,47.790001,45.009998,46.099998,50300
2020-11-03,46.459999,47.380001,45.555,46.060001,86400
2020-11-04,45.82,47.855,45.82,47.73,64900
2020-11-05,48,49,45.700001,49,48700
2020-11-06,49.080002,49.130001,47.400002,48,35000
2020-11-09,50,50.43,45.099998,45.099998,154100
2020-11-10,44.990002,44.990002,39.540001,40.220001,137200
2020-11-11,40.669998,43.849998,40.669998,42.32,56800
2020-11-12,42.990002,42.990002,41.650002,42.490002,52100
2020-11-13,41.799999,42.849998,38.599998,39.130001,340400
2020-11-16,42.919998,48,40.959999,47.990002,184400
2020-11-17,48,51.700001,47.529999,47.779999,158300
2020-11-18,50.200001,51.264999,47.130001,47.5,149600
2020-11-19,48,49,47.328999,47.759998,73000
2020-11-20,48.209999,48.93,45.874001,47.18,92200
2020-11-23,48.099998,52,47.529999,49.34,144100
2020-11-24,49.799999,50.919998,47.005001,47.580002,117400
2020-11-25,47.990002,48.650002,46.355999,47.290001,53700
2020-11-27,47.790001,48.049999,46.919998,48.049999,25400
2020-11-30,48.48,49.275002,47.5,48.41,87600
2020-12-01,48.830002,49.02,45.900002,46.57,72800
2020-12-02,47.18,48.75,45.200001,47.349998,163000
2020-12-03,47.490002,48.470001,45.75,47.720001,113600
2020-12-04,48.23,48.741001,45.549999,47.540001,88200
2020-12-07,47.540001,48,45.32,45.860001,70600
2020-12-08,45.330002,47.262001,45.330002,45.75,73700
2020-12-09,46.119999,46.200001,43,43,108300
2020-12-10,43.299999,44,40.645,41.790001,114300
2020-12-11,42,43.799999,41,42,114200
2020-12-14,41.5,43.799999,41.5,43.52,79800
2020-12-15,43.389999,44.43,42.599998,43,118400
2020-12-16,43.040001,44.990002,43.040001,44.98,134100
2020-12-17,46,53.139999,45.990002,48.5,297400
2020-12-18,49.599998,49.599998,45.810001,45.849998,682500
2020-12-21,45.43,46.23,44.57,46.02,176200
2020-12-22,45.599998,51.970001,45.599998,51.41,126000
2020-12-23,51.630001,56.259998,51.630001,55.790001,143900
2020-12-24,56,58.52,55.200001,57.099998,53800
2020-12-28,57,58.330002,55,57.830002,68200
2020-12-29,58.41,58.41,53.009998,53.470001,58900
2020-12-30,53.5,54.259998,51,51.349998,64600
2020-12-31,51.540001,51.540001,47.18,47.32,94700
2021-01-04,47.009998,47.200001,43.799999,44.509998,116700
2021-01-05,44.349998,46.93,44.349998,45.490002,52000
2021-01-06,45.700001,47.259998,44.599998,45.490002,67400
2021-01-07,46.470001,46.59,43.740002,44.130001,92300
2021-01-08,44.189999,45.939999,43.5,44.970001,95500
2021-01-11,45,46.41,43.900002,45.919998,59500
2021-01-12,46.23,46.23,43.529999,44.66,76500
2021-01-13,45.360001,47.849998,43.599998,46.669998,79500
2021-01-14,47.450001,48.275002,45.41,47,59300
2021-01-15,47.48,47.48,44.360001,44.610001,54400
2021-01-19,44.709999,45.389999,43.599998,45.389999,73900
2021-01-20,45.509998,45.509998,43.52,43.52,58300
2021-01-21,45.400002,45.400002,42.134998,42.549999,78600
2021-01-22,42.369999,42.919998,41.619999,42.919998,62800
2021-01-25,43.639999,46.389999,42.82,43.849998,85900
2021-01-26,45.32,46,44.5,46,51500
2021-01-27,45,47,43.689999,46.490002,66800
2021-01-28,46.990002,46.990002,43.456001,44.48,50900
2021-01-29,44.25,45.599998,43.169998,43.34,44500
2021-02-01,43.119999,43.805,42,43.529999,40800
2021-02-02,44.529999,44.529999,42.5,43.5,33000
2021-02-03,44,45.09,42.799999,44.990002,28900
2021-02-04,45.099998,46.189999,44.033001,46.029999,52600
2021-02-05,48,55,48,52.880001,228300
2021-02-08,54.849998,55.990002,50.919998,53.990002,123700
2021-02-09,54.82,55.700001,53.09,53.599998,117500
2021-02-10,54.740002,55.740002,53.040001,55.720001,57900
2021-02-11,55.799999,55.799999,51.52,53.82,106200
2021-02-12,54.73,55.02,52.259998,53.259998,25900
2021-02-16,53,53,47.41,48.330002,103000
2021-02-17,48.150002,48.889999,46.369999,47,46500
2021-02-18,46.189999,47.290001,45.799999,47.290001,45800
2021-02-19,46.799999,49,46.799999,48.189999,47000
2021-02-22,48.23,48.23,43.380001,43.700001,84100
2021-02-23,43,43.860001,40,42.779999,78000
2021-02-24,45.650002,45.650002,41.560001,42.349998,96800
2021-02-25,42.41,42.889999,40,40,110300
2021-02-26,40.119999,41.119999,37.77,39.470001,68800
2021-03-01,41,41.849998,39.66,40.18,56000
2021-03-02,40.759998,43.240002,39.75,42.470001,63900
2021-03-03,42.5,42.5,38.599998,40.27,74800
2021-03-04,39.779999,40.330002,36,37.299999,100600
2021-03-05,37.889999,38.138,34.389,35.75,99400
2021-03-08,35.470001,36.919998,33,33.27,116600
2021-03-09,34.369999,38,34.150002,36.970001,74300
2021-03-10,37.990002,38.654999,35.702999,36.639999,44000
2021-03-11,37,38.959999,36.299999,37.439999,52300
2021-03-12,41,41,35.82,37.18,131700
2021-03-15,37.07,37.439999,35.060001,35.060001,123500
2021-03-16,35.48,36.740002,34.529999,35.990002,82100
2021-03-17,35.110001,36.540001,35.060001,36.369999,45900
2021-03-18,36.279999,36.279999,34.889999,35.349998,57800
2021-03-19,36,37.330002,35.27,36.939999,106300
2021-03-22,37.799999,37.990002,35.380001,36.619999,56500
2021-03-23,36.919998,36.919998,35.419998,35.52,30800
2021-03-24,36.27,36.27,33.619999,33.860001,42600
2021-03-25,33.630001,36.23,33.619999,35.580002,75800
2021-03-26,34.009998,36.009998,33.709999,34.27,41100
