date,open,high,low,close,volume
2021-06-23,20.1,21.5,19.040001,21,13438500
2021-06-24,20.860001,21.209999,20.702,21.02,7022600
2021-06-25,21.02,21.07,19.73,19.73,2700300
2021-06-28,19.6,19.67,17.01,17.809999,11270300
2021-06-29,17.709999,17.709999,15.38,16.15,9578800
2021-06-30,16.15,20.799999,16,20.379999,10052000
2021-07-01,19.469999,19.530001,17.620001,18.6,3965400
2021-07-02,18,19.709999,17.99,19.02,2948200
2021-07-06,15.215,17.799999,14.89,17.75,24114200
2021-07-07,16.58,17.459999,16,17,4527200
2021-07-08,16.379999,16.559999,14.91,15.13,6977000
2021-07-09,15.36,16,15.14,15.94,3046300
2021-07-12,15.85,16.1,15.43,15.78,2723400
2021-07-13,15.77,17.799999,15.77,17.57,3171500
2021-07-14,17.15,18.07,17.15,17.52,3034600
2021-07-15,17.24,17.709999,16.76,17.16,944800
2021-07-16,17.309999,17.389999,16.76,17.200001,2212100
2021-07-19,16.540001,16.860001,16.1,16.299999,2270800
2021-07-20,16.43,16.52,15.4,16.35,2022100
2021-07-21,16.33,16.74,16.15,16.559999,1266800
2021-07-22,16.540001,16.549999,15.11,15.15,1145200
2021-07-23,14.41,14.66,10.8,10.85,10444300
2021-07-26,9.78,10.64,9.45,9.98,9049300
2021-07-27,9.67,9.7,7.95,8.7,10360400
2021-07-28,9.7,10.27,9.3,9.86,7192900
2021-07-29,10.78,10.9,9.675,10.38,8529900
2021-07-30,9.56,10,9.42,9.47,5454200
2021-08-02,9.84,11.93,9.67,11.7,2680500
2021-08-03,11.9,13.275,11.27,11.66,3010600
2021-08-04,11.64,13.2,11.58,12.53,1533100
2021-08-05,12.24,12.47,11.75,11.96,1414900
2021-08-06,12.3,12.829,12.13,12.45,1151300
2021-08-09,12.36,13.68,12.27,13.24,3068200
2021-08-10,14.03,14.41,13.802,14.02,5408400
2021-08-11,14.26,14.49,13.69,14.11,2564900
2021-08-12,13.74,14,12.15,12.51,2311600
2021-08-13,12.54,12.7,10.87,11.02,3268300
2021-08-16,10.86,10.86,10.35,10.49,2429900
2021-08-17,10.47,10.88,10.25,10.52,2235000
2021-08-18,10.6,11.265,10.6,10.99,2168400
2021-08-19,10.75,11.12,10.58,11.02,4496800
2021-08-20,11.24,13.03,11.23,12.68,5372100
2021-08-23,13.25,13.42,12.5,12.89,2676300
2021-08-24,13.43,15.13,13.42,14.64,5084400
2021-08-25,14.45,15.02,13.6,13.82,3040100
2021-08-26,14,14.76,14,14.35,1246100
2021-08-27,14.3,14.86,14.21,14.69,739900
2021-08-30,14.78,16.290001,14.27,15.8,3615200
2021-08-31,16.32,16.379999,15.46,16.08,2478000
2021-09-01,16.08,17.98,15.945,17.950001,5536300
2021-09-02,18.030001,18.35,17.209999,18.18,4485600
2021-09-03,17.84,18.360001,16.709999,18.309999,5510500
2021-09-07,18.59,19.27,17.73,18.23,4789300
2021-09-08,18.16,18.190001,16.4,17.58,3841900
2021-09-09,16.65,18.040001,16.65,17.92,1857700
2021-09-10,17.790001,18.719999,17.01,17.16,2263300
2021-09-13,17.209999,17.360001,15.7,16.049999,1559700
