date,open,high,low,close,volume
2018-04-27,38,40.889999,37,39.73,16392400
2018-04-30,39.904999,40.189999,37.529999,38.630001,3312100
2018-05-01,38.700001,39.889999,37.849998,39.450001,1285600
2018-05-02,39.849998,40.5,38.75,39.32,1251300
2018-05-03,39.689999,42.560001,38.810001,41.959999,2783600
2018-05-04,42.400002,42.66,41.009998,41.09,763500
2018-05-07,41.650002,41.911999,41.040001,41.310001,630800
2018-05-08,41.5,43.68,40.5,43.220001,821200
2018-05-09,44.439999,44.869999,43.244999,44.099998,1178100
2018-05-10,44.880001,46.699001,43.66,44.009998,1467900
2018-05-11,44.560001,45.889999,44.009998,44.369999,761900
2018-05-14,44.990002,45.727001,43.369999,44.189999,1031900
2018-05-15,44.389999,45.73,43.494999,45.459999,423000
2018-05-16,45.34,45.650002,44.560001,45.23,299000
2018-05-17,45.200001,46.400002,44.549999,44.900002,339400
2018-05-18,44.75,45,44.360001,44.779999,350800
2018-05-21,45.5,45.5,41.720001,42.98,804400
2018-05-22,43.240002,44.720001,42.851002,43.049999,1062500
2018-05-23,43.639999,45.619999,43.099998,45.419998,1125400
2018-05-24,45.939999,47.700001,45.296001,46.799999,1011700
2018-05-25,47.23,48.900002,46.106998,46.369999,678000
2018-05-29,46.669998,49.330002,45.855,48.43,931100
2018-05-30,48.900002,51,48.560001,49.990002,830900
2018-05-31,50.130001,51.201,49.529999,49.810001,867100
2018-06-01,50.279999,50.740002,49.759998,50.119999,564700
2018-06-04,51,54.150002,50.540001,53.650002,1121200
2018-06-05,54.290001,58.279999,52,54.59,2463600
2018-06-06,55.630001,57.380001,54.360001,57.360001,989500
2018-06-07,58.950001,59.860001,53.5,55.990002,3617100
2018-06-08,58.25,60.450001,55.310001,57.919998,7147600
2018-06-11,58.299999,60,58.200001,59.540001,2131400
2018-06-12,60.490002,63.349998,60,61.82,2408600
2018-06-13,63.279999,64.970001,62,63.77,2126700
2018-06-14,64.989998,65.816002,63.099998,63.529999,1932200
2018-06-15,63.09,64.580002,62.299999,63.950001,3584200
2018-06-18,63.509998,66.191002,61.645,63.900002,1553300
2018-06-19,62.139999,64.699997,57.599998,63.869999,3791400
2018-06-20,64.669998,66.800003,62.029999,62.459999,2381500
2018-06-21,63.060001,63.189999,57.470001,57.59,3209100
2018-06-22,58.900002,58.990002,55,57.549999,4039300
2018-06-25,55.580002,55.654999,52.049999,55,2847100
2018-06-26,55.490002,56.969002,54.900002,56.470001,1601600
2018-06-27,56.950001,57.200001,51.740002,51.77,2267000
2018-06-28,51.619999,54,50.344002,53.040001,2312000
2018-06-29,53.669998,54,51.831001,52.950001,1636900
2018-07-02,52.459999,53.16,50.5,52.34,1933500
2018-07-03,52.459999,53.5,51.849998,51.970001,721700
2018-07-05,52.490002,55.389999,51.592999,54.619999,2172000
2018-07-06,54.75,55.959999,54.07,54.950001,1177600
2018-07-09,55.279999,56.490002,54.870998,55.349998,901400
2018-07-10,55.77,55.77,52.189999,52.369999,1583100
