date,open,high,low,close,volume
2020-01-13,9.9,9.9,9.9,9.9,725000
2020-01-14,9.9,9.9,9.9,9.9,1000
2020-01-15,9.9,9.9,9.9,9.9,125000
2020-01-16,10.375,10.375,9.88,10.025,500
2020-01-17,10.025,10.025,10.025,10.025,0
2020-01-21,9.94,9.94,9.94,9.94,200000
2020-01-22,9.94,9.94,9.94,9.94,1000
2020-01-23,9.95,9.95,9.95,9.95,400
2020-01-24,9.95,9.95,9.95,9.95,0
2020-01-27,9.84,9.99,9.84,9.9,400
2020-01-28,9.95,9.95,9.92,9.92,243000
2020-01-29,9.92,10.05,9.91,9.92,343700
2020-01-30,9.92,9.94,9.92,9.92,97700
2020-01-31,9.92,9.92,9.92,9.92,12500
2020-02-03,9.92,9.92,9.92,9.92,0
2020-02-04,9.9,9.9,9.9,9.9,6400
2020-02-05,9.92,10.05,9.92,9.92,33000
2020-02-06,9.92,10.05,9.92,10,97700
2020-02-07,10.02,10.02,10,10,2100
2020-02-10,10,10,10,10,0
2020-02-11,10,10,10,10,0
2020-02-12,10.05,10.05,10.05,10.05,1000
2020-02-13,9.96,9.96,9.96,9.96,50000
2020-02-14,9.96,9.96,9.96,9.96,0
2020-02-18,9.98,10.08,9.97,10.08,2100
2020-02-19,9.97,10.09,9.96,10.09,3900
2020-02-20,10.071,10.071,10.071,10.071,100
2020-02-21,10.071,10.071,10.071,10.071,0
2020-02-24,10.071,10.071,10.071,10.071,0
2020-02-25,10.071,10.071,10.071,10.071,0
2020-02-26,10.071,10.071,10.071,10.071,0
2020-02-27,10.071,10.071,10.071,10.071,0
2020-02-28,10.071,10.071,10.071,10.071,0
2020-03-02,10.071,10.071,10.071,10.071,0
2020-03-03,10.071,10.071,10.071,10.071,0
2020-03-04,9.97,9.97,9.97,9.97,100000
2020-03-05,9.97,9.97,9.97,9.97,0
2020-03-06,9.97,9.97,9.97,9.97,0
2020-03-09,9.92,9.93,9.9,9.9,111500
2020-03-10,9.91,10.05,9.91,9.95,878200
2020-03-11,9.91,10.05,9.88,10.05,384200
2020-03-12,9.86,9.9,9.8,9.9,74900
2020-03-13,9.81,9.89,9.8,9.89,3800
2020-03-16,9.6,9.6,9.6,9.6,1000
2020-03-17,9.51,9.53,9.45,9.53,1067700
2020-03-18,9.45,9.47,9.15,9.29,215100
2020-03-19,9.25,9.26,9.2,9.26,302100
2020-03-20,9.27,9.27,9.27,9.27,100100
2020-03-23,9.35,9.45,9.35,9.4,268300
2020-03-24,9.45,9.551,9.45,9.47,1500
2020-03-25,9.5,9.65,9.5,9.65,2900
2020-03-26,9.63,9.69,9.63,9.65,58200
2020-03-27,9.66,9.66,9.66,9.66,100
2020-03-30,9.66,9.66,9.66,9.66,0
