date,open,high,low,close,volume
2020-06-12,22.799999,26.370001,22.5,24.629999,5021700
2020-06-15,22.629999,25.959999,22.5,23.209999,1238300
2020-06-16,24.01,25,23.610001,24.35,262500
2020-06-17,24.6,24.9,24.040001,24.389999,91600
2020-06-18,24.4,26.59,24.25,26.59,441900
2020-06-19,26.09,29.101999,26.09,28.790001,415300
2020-06-22,29.24,31.91,29.1,30.059999,487600
2020-06-23,30.700001,32.060001,30.700001,31.43,359300
2020-06-24,31.6,32.400002,29.59,31.059999,274400
2020-06-25,31.52,31.99,30.700001,30.91,172300
2020-06-26,30.940001,31.15,27.6,27.85,295500
2020-06-29,28.65,28.9,25.15,26.08,452600
2020-06-30,26.09,28.139999,26.09,27.01,275400
2020-07-01,27,27.780001,26.004,26.639999,298200
2020-07-02,27,27.299999,26.5,27.15,162600
2020-07-06,28.27,30.15,26.120001,26.459999,396000
2020-07-07,27.049999,27.228001,25.309999,26.99,641700
2020-07-08,26.809999,26.99,25.58,26.67,282700
2020-07-09,27.120001,27.120001,25.68,26.09,126200
2020-07-10,26.02,26.9,25.805,26.030001,234200
2020-07-13,26.48,28.98,26.469999,28.35,292600
2020-07-14,27.309999,28.35,27.309999,28.01,79400
2020-07-15,28.190001,30,28.190001,29.610001,212000
2020-07-16,28.4,28.67,27.1,28.299999,125800
2020-07-17,27.870001,30.9,27.809999,28.43,170900
2020-07-20,28.780001,29.379999,28.629999,28.73,47800
2020-07-21,28.49,29.440001,27.77,27.790001,103600
2020-07-22,27.690001,28.83,25.85,26,71800
2020-07-23,26.43,27,25.85,26.190001,95400
2020-07-24,25.799999,25.995001,23.610001,23.809999,124200
2020-07-27,23.82,27.1,23.82,27.02,98000
2020-07-28,26.43,27.17,26.01,26.9,50800
2020-07-29,26.9,27.1,26.07,26.26,44000
2020-07-30,26,26.114,24.15,25.200001,143900
2020-07-31,25.200001,25.438999,25,25,37900
2020-08-03,25,25.370001,24.700001,25.049999,49200
2020-08-04,25.07,25.245001,24.5,24.51,107700
2020-08-05,24.5,24.82,23.860001,23.879999,74800
2020-08-06,23.84,24.764999,23.84,24.17,54900
2020-08-07,24.059999,24.059999,23,23.129999,69700
2020-08-10,23.16,24.370001,23.1,23.790001,86700
2020-08-11,23.93,24.145,21.299999,21.299999,212400
2020-08-12,21.540001,21.860001,20.51,21,193300
2020-08-13,20.66,21.49,20.66,21.459999,161900
2020-08-14,21.42,21.48,20.799999,20.959999,114700
2020-08-17,21,21.09,20.299999,20.639999,134800
2020-08-18,21,21.360001,20.299999,20.5,393000
2020-08-19,20.66,20.83,19.379999,20.540001,600500
2020-08-20,20.290001,20.92,20.004999,20.530001,279400
2020-08-21,20.35,22.799999,20.35,22.6,397800
2020-08-24,21.309999,22.49,21.18,21.629999,55500
2020-08-25,21.370001,23.01,21.370001,22.719999,137200
2020-08-26,22.6,24.620001,21.91,24.299999,154700
2020-08-27,24.299999,24.51,23.9,24.33,51900
2020-08-28,24.5,24.889999,23.299999,23.969999,61100
