date,open,high,low,close,volume
2020-06-22,9.9,10,9.9,10,1600
2020-06-23,10,10.075,9.91,9.91,1100
2020-06-24,9.8,9.8,9.78,9.78,400100
2020-06-25,9.8,9.9,9.8,9.9,143900
2020-06-26,10,10.055,9.94,9.94,400
2020-06-29,9.99,10.03,9.95,9.969,11400
2020-06-30,9.94,9.98,9.94,9.97,25200
2020-07-01,9.83,9.97,9.81,9.97,755000
2020-07-02,10.17,10.17,9.97,10,151800
2020-07-06,10,10,9.89,9.9,2900
2020-07-07,9.97,10.05,9.969,10.05,4400
2020-07-08,10.3,10.3,9.89,9.98,31800
2020-07-09,10,10,10,10,600
2020-07-10,10,10.21,10,10.02,13800
2020-07-13,10.6,10.6,10,10,3000
2020-07-14,10.04,10.04,10,10,2100
2020-07-15,11.94,11.99,10.86,10.99,6897900
2020-07-16,11.37,11.57,10.65,10.7,1561300
2020-07-17,11.12,11.12,10.72,10.93,2468500
2020-07-20,11.15,11.39,11.01,11.28,2110500
2020-07-21,11.95,12.56,11.63,12.4,5565500
2020-07-22,13.5,14.9,13.11,14.88,8363900
2020-07-23,14.7,15.5,13.53,14.44,6549100
2020-07-24,14.25,14.37,13.56,13.65,2174800
2020-07-27,13.96,14.05,12.85,13.09,1508500
2020-07-28,13.25,13.45,12.54,12.63,1337800
2020-07-29,12.62,13,12.03,12.1,1163900
2020-07-30,12,12.53,11.65,12.12,1812400
2020-07-31,12.36,12.49,11.712,11.8,776000
2020-08-03,12,12.244,11.06,11.65,1744600
2020-08-04,11.61,11.74,11.35,11.63,531500
2020-08-05,11.95,12.32,11.52,12,1212600
2020-08-06,12.33,12.33,11.73,11.75,537800
2020-08-07,11.86,11.95,11.36,11.46,851200
2020-08-10,11.79,12.82,11.521,12.28,3667800
2020-08-11,12.28,12.46,11.87,12.1,925600
2020-08-12,11.88,12.1,11.8,11.9,445200
2020-08-13,11.95,12.3,11.93,12.2,977800
2020-08-14,11.99,12.17,11.8,12.17,435600
2020-08-17,12.07,12.25,11.95,12.2,648500
2020-08-18,12.12,12.21,11.82,12,584000
2020-08-19,11.9,12.22,11.75,12.17,1467900
2020-08-20,11.85,12.28,11.8,12.24,925000
2020-08-21,12.03,12.15,11.89,12,612200
2020-08-24,11.9,12.04,11.75,12.04,613900
2020-08-25,11.87,12.08,11.6,12.03,1216300
2020-08-26,12,12,11.85,12,595300
2020-08-27,11.87,12.7,11.87,12.7,1639000
2020-08-28,13.17,13.75,12.7,13.46,1943700
2020-08-31,13.15,13.55,13.051,13.5,820500
2020-09-01,13.38,13.6,13.26,13.4,505500
2020-09-02,13.99,15.25,13.65,14.29,2459200
2020-09-03,14.39,15.04,12.87,14.6,2450900
2020-09-04,14,16.25,13.6,15.16,2621400
2020-09-08,14.97,15.5,13.92,15.11,1200000
2020-09-09,15.13,15.37,14.32,14.5,993100
2020-09-10,15,15,13.74,14.02,1019000
2020-09-11,14.18,14.89,13.9,14,748800
2020-09-14,14.47,15.2,14.31,14.6,550600
2020-09-15,15,16.049999,14.69,15.34,1791500
2020-09-16,15.5,16.41,14.71,15.2,1334100
2020-09-17,14.58,15.25,14.37,14.79,650900
2020-09-18,14.64,15.31,14.6,15.05,838100
2020-09-21,14.53,14.98,13.645,14.5,1726800
2020-09-22,14.4,14.92,13.83,14.25,936600
2020-09-23,13.86,14.4,13.5,13.5,1221700
2020-09-24,13.25,13.89,12.75,13.89,1008600
2020-09-25,14,14.2,13.5,14.1,447300
2020-09-28,14.5,15.18,13.5,14.15,816800
2020-09-29,14.19,14.19,13.7,13.98,267800
2020-09-30,13.9,14.06,13.51,13.58,471700
2020-10-01,14.77,15.48,13.86,14.24,3411500
2020-10-02,13.7,14.2,13.6,14,1281000
2020-10-05,14.35,14.49,13.79,14.19,698700
2020-10-06,14.02,14.3,13.5,13.53,778500
2020-10-07,13.93,13.93,13.32,13.69,727800
2020-10-08,13.6,13.79,13.42,13.62,320100
