date,open,high,low,close,volume
2018-03-16,27.5,33.470001,26.059999,33,16931900
2018-03-19,31.450001,31.5,26.75,27.9,5892100
2018-03-20,28.41,30.903999,28.07,30.379999,3262000
2018-03-21,30.790001,34.830002,29.290001,31.08,4460900
2018-03-22,30,31.879999,28.559999,29.83,3239500
2018-03-23,30.309999,30.450001,28.6,29.43,1247100
2018-03-26,30.629999,30.938,27.299999,27.83,1916700
2018-03-27,28,28.599001,26.6,27.75,1719500
2018-03-28,27.35,28.190001,27,27.530001,824700
2018-03-29,27.75,28.455,26.799999,28.07,1137600
2018-04-02,27.9,28.66,26.806999,27.059999,786700
2018-04-03,27.129999,27.190001,26.5,26.799999,787500
2018-04-04,26.35,28.950001,26.32,27.969999,1023800
2018-04-05,28.610001,29.15,27.969999,28.530001,1210400
2018-04-06,28.32,29.663,28.049999,28.219999,737300
2018-04-09,28.469999,28.700001,26.5,26.540001,934500
2018-04-10,27.059999,28.5,26.84,28.07,1068400
2018-04-11,28.030001,29.459999,27.4,27.709999,795300
2018-04-12,27.809999,28.59,27.775,27.959999,258900
2018-04-13,28.700001,28.700001,27.030001,27.48,418300
2018-04-16,27.889999,29,27.565001,28.99,401000
2018-04-17,29.309999,29.973,28.629999,28.75,951500
2018-04-18,28.959999,29,28,28.65,377700
2018-04-19,28.65,28.945,27.75,28.030001,265500
2018-04-20,28.049999,28.23,27.030001,27.219999,522500
2018-04-23,27.200001,27.58,26.5,26.860001,626800
2018-04-24,27,27.969999,27,27.139999,393200
2018-04-25,27.09,28.450001,26.85,28.110001,415700
2018-04-26,28.4,28.809999,28.171,28.65,396000
2018-04-27,28.860001,28.93,28.410999,28.709999,197200
2018-04-30,28.700001,30.059999,28.700001,29.889999,399100
2018-05-01,29.799999,30.030001,29,29.129999,418400
2018-05-02,29.32,30.059999,29.01,29.950001,265300
2018-05-03,28.75,28.75,26.75,27.57,1937300
2018-05-04,27.58,27.959999,27.58,27.860001,651300
2018-05-07,28,28.35,27.51,27.65,470200
2018-05-08,27.65,27.91,27.27,27.530001,266400
2018-05-09,27.49,27.870001,27.334,27.85,325500
2018-05-10,27.85,28.82,27.5,28.18,380900
2018-05-11,28.25,29.459999,28.01,29.32,604500
2018-05-14,29.370001,30.1,28.41,28.469999,564800
2018-05-15,28.42,28.76,27.25,27.41,753500
2018-05-16,27.530001,27.799999,27.065001,27.09,383100
2018-05-17,27.07,28.51,26.752001,27.389999,676300
2018-05-18,27.4,27.809999,27.209999,27.280001,227400
2018-05-21,27.35,27.99,27.040001,27.42,268300
2018-05-22,27.559999,27.559999,27,27.09,348700
