date,open,high,low,close,volume
2020-04-09,100,100,86.510002,88.510002,1900
2020-04-13,85,86.830002,80.25,80.25,167400
2020-04-14,75.150002,77.559998,75.150002,75.190002,5300
2020-04-15,72.150002,76,72.150002,76,800
2020-04-16,76,76,74.599998,74.599998,75300
2020-04-17,73.199997,75,68.059998,68.059998,26200
2020-04-20,68.012001,78,58.669998,65.330002,783500
2020-04-21,68.949997,69.620003,62.5,64.25,597200
2020-04-22,63.970001,70.839996,63.650002,69.199997,470700
2020-04-23,71.940002,78.18,70.790001,76.57,927100
2020-04-24,73.709999,80.43,72.519997,79.980003,988400
2020-04-27,81.790001,83.669998,81.105003,81.800003,905400
2020-04-28,83.730003,84.120003,80.552002,81.879997,747300
2020-04-29,85,87.199997,83.830002,85.25,779400
2020-04-30,84.690002,84.735001,79.790001,82.699997,269900
2020-05-01,80.989998,84.900002,79.239998,79.68,200500
2020-05-04,79.300003,81.370003,77.800003,81.209999,658200
2020-05-05,81.75,84.580002,79.230003,79.760002,270800
2020-05-06,80,81.360001,79.75,79.940002,156200
2020-05-07,81,81.879997,76.681,78.419998,355000
2020-05-08,80.309998,81.669998,79.349998,79.800003,175400
2020-05-11,79.620003,81.599998,76.349998,76.599998,226100
2020-05-12,76.849998,79.370003,74.010002,74.019997,233600
2020-05-13,74,75.209999,73.050003,73.059998,187300
2020-05-14,72,75.82,71.345001,75.059998,204000
2020-05-15,75.019997,78.540001,74.285004,78.489998,240700
2020-05-18,79.959999,82.410004,75.769997,77.43,414400
2020-05-19,77.309998,80.160004,77.139999,77.239998,136800
2020-05-20,77.989998,78.239998,74.940002,76.120003,607700
2020-05-21,76.010002,76.849998,74.349998,74.5,241600
2020-05-22,74.07,76.139999,74.07,75.459999,321400
2020-05-26,77.610001,77.610001,70.120003,74.769997,303600
2020-05-27,74.5,74.5,68.339996,74.150002,1025000
2020-05-28,74.080002,80.089996,73.949997,79.050003,541200
2020-05-29,78.720001,80.459999,76.440002,79.230003,177900
2020-06-01,79.769997,81.82,78.779999,80.050003,197100
2020-06-02,80,81.739998,76.519997,77,384300
2020-06-03,77.050003,78.970001,76.970001,78.089996,215700
2020-06-04,77.830002,81.620003,76.389999,81,369100
2020-06-05,81.529999,84.300003,80.879997,81.980003,356900
2020-06-08,81.620003,82.182999,78.949997,81.43,174300
2020-06-09,80.339996,81.169998,79.510002,80.620003,147900
2020-06-10,80.099998,80.730003,79.010002,79.379997,221300
2020-06-11,77.099998,77.589996,72.050003,73.5,274400
2020-06-12,75.480003,77.519997,73.5,74.870003,135300
2020-06-15,73.599998,76.220001,72.870003,74.279999,81400
2020-06-16,75.120003,76.910004,72.589996,74.040001,178500
2020-06-17,76.239998,77.614998,74.300003,76.760002,122300
2020-06-18,76.720001,79.510002,76.260002,78.82,129000
2020-06-19,78,79.940002,76.989998,78.349998,314000
2020-06-22,78,78,74.209999,74.580002,153200
2020-06-23,74.970001,76.489998,74.5,75.199997,120300
2020-06-24,74.43,74.43,72.426003,73.559998,112400
2020-06-25,73.5,73.779999,71.769997,72.68,248900
2020-06-26,72.940002,73.339996,70.699997,72.529999,364600
2020-06-29,73.370003,75.730003,71.900002,75.099998,78900
2020-06-30,75.099998,76.18,74.82,75,76100
2020-07-01,75.260002,76.214996,73.480003,74.870003,151800
2020-07-02,75.510002,76.230003,72.82,72.849998,113300
2020-07-06,74.169998,76.5,73.029999,74.68,55900
2020-07-07,73.529999,75.445,73.190002,73.790001,94100
2020-07-08,73.989998,74.760002,73.07,74.300003,91000
2020-07-09,74.580002,74.620003,71.779999,72.150002,127600
2020-07-10,72,73.209999,70.690002,71.260002,123100
2020-07-13,72.220001,72.849998,69.629997,71.059998,122600
2020-07-14,70.709999,71.589996,69.800003,71.040001,81800
2020-07-15,71.830002,75.709999,71.830002,75.050003,181400
2020-07-16,74.099998,77.629997,73.980003,76.199997,141400
2020-07-17,75.809998,75.809998,72.860001,75,327000
2020-07-20,75.199997,75.199997,72.809998,74.099998,64700
2020-07-21,74.349998,75.459999,72.25,72.699997,107700
2020-07-22,72.68,73.32,71.230003,71.739998,68400
2020-07-23,71.300003,73.25,70.57,72.5,127000
2020-07-24,72.349998,75.650002,71.599998,74.879997,421900
2020-07-27,74.830002,75.199997,72.949997,74.080002,101100
2020-07-28,73.540001,74.790001,73.400002,74.330002,48200
2020-07-29,74.790001,75.105003,72.699997,73.150002,62200
2020-07-30,72.010002,72.029999,68.599998,70.809998,91900
2020-07-31,70.769997,70.949997,67.599998,70.860001,147100
2020-08-03,71.099998,71.269997,68.529999,68.900002,105800
2020-08-04,68.739998,68.849998,67.464996,68.629997,120500
2020-08-05,68.940002,69.169998,67.459999,68.809998,130400
2020-08-06,68.360001,68.919998,66.550003,67.779999,132800
2020-08-07,67.540001,69.080002,67.540001,68.709999,74500
2020-08-10,68.629997,71.82,68.519997,70.510002,110100
2020-08-11,71.080002,75.07,70.879997,74.269997,136800
2020-08-12,74.870003,75.849998,72.150002,72.650002,88200
2020-08-13,72.879997,73.349998,71.050003,71.360001,81300
2020-08-14,70.120003,72.019997,66.870003,67.459999,180600
2020-08-17,67.57,68.129997,65.330002,65.470001,153300
2020-08-18,65.940002,66.279999,64.459999,65.339996,151100
2020-08-19,65.239998,66.723999,65.239998,65.459999,48700
2020-08-20,65.050003,65.464996,64.040001,64.150002,54800
2020-08-21,64,64.235001,63.549999,63.889999,66700
2020-08-24,66.5,69.150002,66.300003,68.879997,279700
2020-08-25,69.019997,72.169998,68.870003,71,183100
2020-08-26,71,71.110001,68.519997,70.389999,151600
2020-08-27,70.709999,73.550003,70.709999,72.419998,114800
2020-08-28,73,75.120003,72.714996,75.120003,116800
2020-08-31,75.230003,75.5,74.669998,75.169998,110000
2020-09-01,75.470001,75.599998,74.790001,74.93,203900
2020-09-02,74.599998,76.489998,74.599998,75.349998,178800
2020-09-03,75.080002,77.190002,75.080002,77.129997,81900
2020-09-04,77.160004,79.110001,76.959999,78.739998,94300
2020-09-08,77.919998,79.809998,77.400002,77.639999,264800
2020-09-09,77.980003,81.089996,77.25,80.75,136500
