date,open,high,low,close,volume
2018-06-08,15.01,15.49,14.81,15,2014900
2018-06-11,15,15.25,14.62,15,282400
2018-06-12,15,15.01,14,14.57,129600
2018-06-13,14.63,14.76,14.5,14.505,112300
2018-06-14,14.5,14.599,14.45,14.5,91000
2018-06-15,14.21,14.53,14.18,14.45,170300
2018-06-18,14.3,15,14.19,14.45,118700
2018-06-19,14.31,14.82,14.31,14.54,105500
2018-06-20,14.76,14.76,14.18,14.36,42100
2018-06-21,14.27,14.68,12.68,12.79,131700
2018-06-22,13.05,13.419,11.61,11.9,134200
2018-06-25,12.25,12.75,11.65,11.88,97100
2018-06-26,11.9,12.12,11.807,12.07,42600
2018-06-27,11.88,12.2,11.405,11.91,121100
2018-06-28,11.55,11.693,10.62,11.2,63600
2018-06-29,11.24,11.95,11.2,11.46,66200
2018-07-02,11.6,11.856,11.31,11.58,32800
2018-07-03,11.97,12.761,11.803,12.17,96100
2018-07-05,12.59,12.63,12.075,12.17,45100
2018-07-06,12,12.83,11.88,12.83,74700
2018-07-09,13.05,13.39,12.064,12.5,200800
2018-07-10,12.57,13.166,12.261,12.41,66400
2018-07-11,12.31,12.325,11.36,11.61,34000
2018-07-12,11.61,12.14,11.2,11.69,85100
2018-07-13,11.69,12.15,10.27,10.53,172900
2018-07-16,10.73,11.18,10.299,10.74,107400
2018-07-17,10.7,11.145,10.55,10.57,120000
2018-07-18,10.52,11.286,10.4,10.44,44700
2018-07-19,10.45,10.737,10.45,10.53,16600
2018-07-20,10.607,10.63,10.05,10.08,27200
2018-07-23,10.1,10.425,10.03,10.2,29500
2018-07-24,10.26,10.548,9.19,9.4,61700
2018-07-25,9.297,9.49,7.981,8.3,152500
2018-07-26,8.64,8.9,7.98,8.1,169600
2018-07-27,8.06,9.049,8.06,8.75,43100
2018-07-30,8.71,9,8.248,8.75,15200
2018-07-31,8.74,9.42,8.74,9.21,39000
2018-08-01,9.08,9.189,8.9,8.93,30000
2018-08-02,8.88,9.134,8.79,8.97,5400
2018-08-03,8.8,9.05,8.8,8.91,12100
2018-08-06,8.86,9.015,8.43,8.58,13900
2018-08-07,8.75,8.75,8.099,8.5,37900
2018-08-08,8.25,8.62,8.16,8.58,18200
2018-08-09,8.53,9.2,8.53,9.17,15000
2018-08-10,9.07,9.18,8.75,8.75,11300
2018-08-13,8.8,9.23,8.68,9.03,12600
2018-08-14,9.3,9.42,8.6,8.66,25400
2018-08-15,8.59,9.01,8.59,8.84,31300
2018-08-16,8.84,10.1,8.84,9.4,53400
2018-08-17,9.4,9.75,9.11,9.29,19000
2018-08-20,10,10.02,9.02,9.15,42600
2018-08-21,9.9,10.13,9.79,10.01,26200
2018-08-22,10.05,11.3,10.05,10.8,102900
2018-08-23,10.98,11.53,10.95,11.51,79500
2018-08-24,11.51,12.08,11.25,11.25,84500
2018-08-27,11.53,11.899,11.01,11.66,46600
2018-08-28,11.74,11.74,11.31,11.43,28300
2018-08-29,11.42,11.585,11.18,11.38,19400
2018-08-30,11.4,11.7,11.4,11.69,10200
2018-08-31,11.61,11.75,11.155,11.64,42900
2018-09-04,11.64,12.6,11.488,12.32,87700
2018-09-05,12.53,12.55,11.85,12.29,52000
2018-09-06,12.14,12.378,11.47,11.83,38800
2018-09-07,11.83,12.5,11.565,11.96,39300
2018-09-10,12.01,12.24,12.01,12.04,19200
2018-09-11,12.01,12.1,11.5,11.6,70300
2018-09-12,11.54,11.55,11.25,11.32,36700
2018-09-13,11.45,11.485,11,11.29,14100
2018-09-14,11.36,11.76,10.71,11.64,46100
2018-09-17,11.65,11.65,11.11,11.45,164400
2018-09-18,11.35,11.64,11.005,11.6,48900
2018-09-19,11.75,12.5,11.15,11.76,24100
2018-09-20,11.544,12.25,11.5,12.05,32800
2018-09-21,12.22,13.05,11.825,13.05,420800
2018-09-24,13.09,13.4,12.92,13.26,34700
2018-09-25,13.27,13.474,12.8,12.81,23900
2018-09-26,12.92,12.92,12.46,12.81,19300
2018-09-27,12.92,13.36,12.49,13.3,29000
2018-09-28,13.3,13.6,13.01,13.6,30900
2018-10-01,13.79,13.79,13.02,13.39,21800
2018-10-02,13.33,13.43,12.77,13.37,92300
2018-10-03,14,14,13.3,13.48,26100
2018-10-04,13.36,13.89,12.91,13.02,37600
2018-10-05,13.03,13.55,13,13.29,46200
2018-10-08,13.34,13.95,13,13.26,52800
2018-10-09,13.4,13.45,13.03,13.35,29100
2018-10-10,13.32,13.32,12.26,13.11,54400
2018-10-11,13.07,13.55,12.81,13.43,82100
2018-10-12,13.47,13.53,13.18,13.37,25300
2018-10-15,13.51,14,13,14,37600
2018-10-16,14.71,14.927,13.665,13.99,55800
2018-10-17,13.92,13.92,13.3,13.43,10900
2018-10-18,13.51,13.886,13.05,13.78,18000
2018-10-19,13.8,13.8,13,13.26,27500
2018-10-22,13.43,13.521,13,13.01,12000
2018-10-23,13,13.47,12.98,13.2,20700
2018-10-24,13.08,13.44,13,13,13600
2018-10-25,13.495,13.495,12.77,13.39,15400
2018-10-26,13.32,13.385,12.776,13.05,57700
2018-10-29,13.05,13.25,12.87,13.07,38400
2018-10-30,13.15,13.45,12.9,13.18,129900
2018-10-31,13.26,13.527,13.05,13.36,50100
2018-11-01,13.5,13.5,13.01,13.16,4100
