date,open,high,low,close,volume
2017-04-28,7.5,9.9,7.5,8.76,73200
2017-05-01,9.5,9.5,7.55,8.02,154200
2017-05-02,8.51,9.4,7.5,7.841,106200
2017-05-03,7.98,8,6.12,6.47,368000
2017-05-04,6.45,6.45,5.21,5.77,306000
2017-05-05,5.71,5.96,5.6,5.6,214000
2017-05-08,5.81,6.47,5.64,5.96,216900
2017-05-09,6,6.154,5.65,5.93,135600
2017-05-10,5.93,6.061,5.51,5.58,204100
2017-05-11,5.57,5.61,5.1,5.44,174800
2017-05-12,5.21,5.6,5.21,5.52,66600
2017-05-15,5.3,5.74,5.3,5.62,114500
2017-05-16,5.7,5.7,5.421,5.56,71600
2017-05-17,5.55,5.6,5.2,5.27,78300
2017-05-18,5.3,5.5,5.11,5.18,77200
2017-05-19,5.35,5.36,5.21,5.3,67700
2017-05-22,5.35,5.44,5.19,5.35,41900
2017-05-23,5.33,5.39,5.19,5.26,28300
2017-05-24,5.24,5.29,5.12,5.28,57000
2017-05-25,5.25,5.35,5.11,5.13,100800
2017-05-26,5.23,5.234,4.6,5.14,171900
2017-05-30,5.14,5.14,4.944,5,76200
2017-05-31,5,5.04,4.61,4.71,74300
2017-06-01,4.64,5.25,4.64,5.16,144600
2017-06-02,4.65,4.88,4.65,4.87,672200
2017-06-05,4.8,4.95,4.8,4.94,65900
2017-06-06,4.92,4.93,4.8,4.82,46900
2017-06-07,5.1,5.786,5.02,5.05,456200
2017-06-08,5.12,5.63,5.12,5.49,186000
2017-06-09,5.59,6.71,5.38,6.16,451700
2017-06-12,6.1,6.5,5.93,6.16,165100
2017-06-13,6.3,6.405,6,6.06,92300
2017-06-14,6.39,6.39,6.05,6.1,58100
2017-06-15,6.1,6.1,5.93,5.98,86400
2017-06-16,5.99,6.13,5.95,6,102800
2017-06-19,5.97,6.09,5.75,6,59700
2017-06-20,6.05,6.1,5.9,6.05,64500
2017-06-21,6.26,6.26,5.96,6.11,44600
2017-06-22,6.17,6.5,6.11,6.41,104700
2017-06-23,6.4,7.23,6.37,6.82,169800
2017-06-26,6.78,7.19,6.78,6.81,80400
2017-06-27,6.841,6.93,6.5,6.64,81100
2017-06-28,6.7,7.15,6.45,6.57,55800
2017-06-29,6.57,6.57,6.16,6.24,154700
2017-06-30,6.2,6.364,5.88,5.88,74400
2017-07-03,5.91,6.15,5.91,5.95,27400
2017-07-05,5.95,6,5.597,5.85,82600
2017-07-06,5.79,5.9,5.665,5.68,31200
2017-07-07,5.96,5.96,5.6,5.68,82200
2017-07-10,5.65,5.7,5.5,5.51,48500
2017-07-11,6.15,6.17,5.685,6.04,119200
2017-07-12,6.41,6.527,6.117,6.31,107100
2017-07-13,6.34,6.51,6.11,6.18,46200
2017-07-14,6.15,6.42,6.1,6.2,44000
2017-07-17,6.2,6.23,5.81,5.9,66500
2017-07-18,5.99,5.99,5.65,5.84,30600
2017-07-19,5.91,5.95,5.8,5.9,24500
