date,open,high,low,close,volume
2020-01-17,14.75,15.79,12.25,12.5,3830800
2020-01-21,12.5,13.95,12.45,13.8,1043100
2020-01-22,14.25,15.39,13.85,15.37,760300
2020-01-23,15.46,15.73,15,15.16,250000
2020-01-24,15.14,15.6,12.32,14,373200
2020-01-27,13.85,14.11,13.61,13.68,120300
2020-01-28,13.64,13.92,13.5,13.68,67500
2020-01-29,13.64,13.813,13.25,13.43,84400
2020-01-30,13.26,13.745,13,13,100000
2020-01-31,13,13.05,12.3,12.3,100600
2020-02-03,12.34,12.613,11.16,11.35,122400
2020-02-04,11.25,11.35,9.3,11.35,406800
2020-02-05,11.22,11.79,10.505,11.5,169800
2020-02-06,11.54,11.54,10.91,10.95,78100
2020-02-07,10.99,11.454,10.65,11,91900
2020-02-10,11,11.07,10.58,11,126900
2020-02-11,11.26,11.495,11.03,11.18,30100
2020-02-12,11.2,11.25,10.88,11,24900
2020-02-13,10.96,11.25,10.89,11.08,32200
2020-02-14,11.15,11.201,10.81,10.81,24900
2020-02-18,10.86,10.97,10.6,10.63,35200
2020-02-19,10.55,10.96,10.55,10.64,24300
2020-02-20,10.58,12.45,10.55,12.14,212400
2020-02-21,12.78,12.82,11.605,11.99,113700
2020-02-24,11.8,12.278,11.475,12.01,34100
2020-02-25,12.01,13.87,12.01,13.82,141200
2020-02-26,14,14.49,13.02,13.4,71800
2020-02-27,13.22,13.22,12.32,12.5,35500
2020-02-28,12.6,12.723,11.6,12.3,40800
2020-03-02,12.83,13.65,12.65,13.51,425100
2020-03-03,13.4,13.5,12.755,13.1,46500
2020-03-04,13.18,14.05,13.18,13.86,28100
2020-03-05,13.75,14.13,12.99,14.1,59400
2020-03-06,13.56,14.78,13.56,14,129100
2020-03-09,13.3,14.43,12.57,14,63300
2020-03-10,13.96,14.73,13.845,14.13,61900
2020-03-11,13.83,14.44,13.355,13.62,46700
2020-03-12,13.11,13.35,12,12.75,61100
2020-03-13,13.98,13.98,13.1,13.67,37800
2020-03-16,12.57,12.75,11.5,11.5,42000
2020-03-17,12.47,12.47,11.5,11.5,31200
2020-03-18,11.26,12.09,11.19,11.2,13900
2020-03-19,11.06,11.8,11.05,11.38,21400
2020-03-20,11.53,11.99,11.103,11.25,18000
2020-03-23,11.16,11.34,11.1,11.25,3700
2020-03-24,11.49,11.72,11.276,11.46,4900
2020-03-25,12.1,13,11.65,13,31300
2020-03-26,13,13.15,12.01,12.01,4600
2020-03-27,11.28,13,11.28,13,8900
2020-03-30,13.4,13.49,12.5,12.5,27400
2020-03-31,12.88,13.39,12.15,13,30800
2020-04-01,13,13.5,12.68,13.5,11100
2020-04-02,13.5,14.5,12.593,14.5,59600
2020-04-03,14.95,15.8,14.1,14.5,316600
2020-04-06,14.95,14.956,13.78,13.79,33700
2020-04-07,13.96,13.96,13,13,36300
2020-04-08,12.95,13.9,12.95,13.1,36000
2020-04-09,13.24,13.85,13.01,13.6,79200
2020-04-13,13.3,13.7,13.3,13.3,5300
2020-04-14,13.88,13.89,13.35,13.6,42300
2020-04-15,14.3,14.3,13.52,13.7,16600
2020-04-16,14.49,14.49,13.09,14.15,43300
2020-04-17,14.14,14.14,13.51,13.8,19900
2020-04-20,14.42,14.42,13.7,14.34,33000
2020-04-21,13.7,14.342,13.21,13.4,23800
2020-04-22,14.39,14.39,13.675,14.24,25900
2020-04-23,14,14.28,13.8,14.05,12900
2020-04-24,14.26,14.26,13.97,14.13,15900
2020-04-27,14,16.299999,13.6,15.89,102100
2020-04-28,16,16.700001,15.89,15.9,60500
2020-04-29,16.639999,19.75,16.49,18.200001,84300
2020-04-30,19.110001,19.74,18,18,72600
2020-05-01,16.200001,16.777,13.77,15.89,107000
2020-05-04,16,16.34,15.4,16.280001,18500
2020-05-05,15.9,16.559999,15.21,15.26,49400
2020-05-06,15.47,16,15.47,16,17900
2020-05-07,15.9,16.690001,15.9,16,22300
2020-05-08,16,16.615,16,16.35,30400
2020-05-11,16.27,18.209999,16.27,17.129999,30900
2020-05-12,17.75,18.48,16.120001,18.48,45400
2020-05-13,18.450001,19.5,17.865,19.389999,84600
