date,open,high,low,close,volume
2020-06-26,22.26,24.08,19.719999,22,2695300
2020-06-29,23.478001,23.99,21.52,22.370001,973800
2020-06-30,22.1,23.65,22.1,22.5,279000
2020-07-01,23.200001,23.209999,21.299999,21.83,1107600
2020-07-02,22.280001,22.280001,21.15,21.15,390000
2020-07-06,21.360001,22.379999,20.674999,21.459999,392100
2020-07-07,21.299999,22.139999,21.25,21.549999,219000
2020-07-08,21.610001,22.16,21.370001,21.74,83500
2020-07-09,21.809999,22.6,21.799999,22.25,260700
2020-07-10,22.25,22.6,21.815001,22.299999,238300
2020-07-13,22.6,23.246,21.99,22.49,147400
2020-07-14,22.09,22.551001,21.25,21.620001,176400
2020-07-15,21.98,22.357,21.32,21.700001,85800
2020-07-16,21.6,21.6,20.249001,20.719999,151500
2020-07-17,21.02,21.853001,20.9,21.120001,23700
2020-07-20,21.01,22.309999,20.511,21.17,112100
2020-07-21,21.48,22.49,21.48,21.780001,136800
2020-07-22,21.75,22.075001,19,19.77,113500
2020-07-23,20.02,20.6,19.497,20.040001,43300
2020-07-24,20.1,20.27,19,19.299999,126700
2020-07-27,20.24,20.6,19.5,19.99,84800
2020-07-28,19.889999,20.655001,19.66,19.68,65000
2020-07-29,19.99,20.799999,19.709999,20.299999,109600
2020-07-30,20.309999,20.5,19.01,19.82,49200
2020-07-31,19.85,20.225,19.139999,19.549999,193400
2020-08-03,19.52,21.08,19.5,20.34,111300
2020-08-04,20.139999,20.985001,19.559999,20.51,113100
2020-08-05,20.42,21.455,20.32,21.15,59500
2020-08-06,21.42,21.59,20.32,20.33,72200
2020-08-07,20.48,21.75,20.02,20.559999,104400
2020-08-10,20.6,21.634001,20.43,20.610001,322000
2020-08-11,20.690001,20.98,19.940001,20.379999,213300
2020-08-12,20.5,21.25,19.91,20.370001,108600
2020-08-13,20.110001,21.15,19.52,20.5,116200
2020-08-14,20.469999,21.16,20,20.33,99800
2020-08-17,20.58,21.66,20.08,20.889999,135800
2020-08-18,20.27,21.594999,20.26,20.48,89600
2020-08-19,20.709999,21.76,20.190001,20.860001,220700
2020-08-20,20.75,21.885,20.5,21.209999,84100
2020-08-21,21.110001,22.5,20.754999,22.030001,86800
2020-08-24,22.030001,22.5,21.851,22.389999,102200
2020-08-25,22.360001,22.5,21.66,22.469999,87900
2020-08-26,22.02,22.959999,21.290001,22.35,80600
2020-08-27,22.200001,22.792999,20.985001,21.469999,94100
2020-08-28,20.5,22.719999,20.5,22.6,81100
