date,open,high,low,close,volume
2020-01-31,23.059999,24.4,19.32,21.799999,2931700
2020-02-03,21.16,25.82,21.110001,25.129999,712500
2020-02-04,25.129999,27.450001,24.299999,25.639999,247200
2020-02-05,26.09,26.09,24.5,25.23,161300
2020-02-06,25.27,25.549999,23.139999,24.74,223100
2020-02-07,24.709999,26.655001,23.110001,26.389999,251200
2020-02-10,26.83,27.725,25.530001,26.5,90900
2020-02-11,26.639999,26.700001,25.83,26.24,129200
2020-02-12,26.200001,26.200001,24.922001,25.75,105000
2020-02-13,25.610001,27.530001,25.337999,26.33,114000
2020-02-14,26.41,27.465,23.889999,25.51,93400
2020-02-18,25.24,26.364,24.200001,25.5,209500
2020-02-19,25.540001,26.959999,25.540001,26.59,293300
2020-02-20,27.34,27.389999,26.15,26.9,227000
2020-02-21,26.879999,28.5,26.450001,27.049999,256500
2020-02-24,26.24,28.49,25.610001,27.610001,218000
2020-02-25,27.309999,28.940001,25.07,26.33,386300
2020-02-26,26.139999,28.58,26.139999,28.540001,91200
2020-02-27,28.209999,28.851,26.802999,27.610001,262600
2020-02-28,27.129999,29.059999,24.799999,26.575001,424100
2020-03-02,26.65,28.139999,26,27.4,247779
2020-03-03,27.5,28.84,26.5,27.469999,242820
2020-03-04,27.67,28.26,26.540001,27.709999,176241
2020-03-05,27.299999,28.799999,26.860001,27.639999,163513
2020-03-06,27.49,29.0494,26.549999,28.25,198598
2020-03-09,27.549999,30.549999,27.110001,28.360001,119694
2020-03-10,28.99,34,28.549999,30.530001,196555
2020-03-11,30.01,31.799999,22.9,25,408582
2020-03-12,23.23,24.799999,21.620001,22.32,103073
2020-03-13,22.700001,28.77,17.870001,22.66,166831
2020-03-16,21.440001,21.440001,17.1,18.98,147137
2020-03-17,19.379999,20.209999,18.200001,19.120001,151295
2020-03-18,18.360001,19.5,17.549999,18.5,91843
2020-03-19,18.450001,26.129999,18.18,25.23,123152
2020-03-20,25.950001,40.880001,23.360001,33.32,1350354
2020-03-23,34.16,37.48,25.360001,36.900002,219921
2020-03-24,37.91,38.919998,30.605,36.720001,102337
2020-03-25,36.529999,36.595001,31.575001,32.560001,150438
2020-03-26,32.599998,32.599998,30.139999,31,51695
2020-03-27,30.299999,30.870001,23.98,27.35,144071
2020-03-30,28,30.01,24.26,29.700001,44692
2020-03-31,29.4,31.4,27.395901,29.799999,102234
2020-04-01,29.16,29.74,25.275,25.82,100495
2020-04-02,25.610001,28.25,24.055,25.84,48826
2020-04-03,25.610001,26.139999,24.5,25.35,83559
2020-04-06,26.07,29.200001,25.26,28.35,74593
2020-04-07,28.549999,28.549999,26.905001,28.5,39098
2020-04-08,28.799999,28.799999,26.559999,27.17,34741
2020-04-09,27.690001,32,26.295,31.950001,78531
2020-04-13,31.5,32.005001,29.7272,31.43,37140
2020-04-14,31.299999,32,30.85,30.93,30938
2020-04-15,30,30.6,25.105,25.299999,131566
2020-04-16,25.700001,27.25,23.219999,26.610001,136056
2020-04-17,27.27,28.01,25.530001,27.280001,38507
2020-04-20,26.1,28.4,25.450001,27.4,42138
2020-04-21,26.469999,30,25.610901,28.32,71139
2020-04-22,29.200001,29.49,27.7001,28.719999,24410
2020-04-23,28.700001,29.219999,26.709999,27.18,20855
2020-04-24,27.49,30,27.49,29.610001,83648
2020-04-27,30,30.066,29.209999,29.780001,75010
2020-04-28,30,30.02,28.01,28.969999,47386
2020-04-29,29.950001,31.6,28.25,29.6,113256
2020-04-30,29.1,30,28.370001,29.719999,33541
2020-05-01,28.790001,29.65,25.254101,26,120822
2020-05-04,25.530001,26.190001,23.959999,25.67,32682
2020-05-05,26.42,27.084999,25,25.59,37718
2020-05-06,25.440001,25.879999,24.6,25.200001,31485
2020-05-07,25.09,25.440001,24.059999,24.48,28371
2020-05-08,25.08,25.08,24.200001,24.5,44876
2020-05-11,24.52,27.110001,24.1,26.799999,35552
2020-05-12,26.83,28.15,24.5,24.700001,43030
2020-05-13,24.700001,27.07,24.110001,26.809999,46155
2020-05-14,26.059999,26.559999,24.549999,25.440001,89652
2020-05-15,25.459999,26,24.93,25.559999,24615
2020-05-18,26.09,29.27,26.058599,28.969999,41789
2020-05-19,28.51,30,26.059999,26.49,38600
2020-05-20,27.280001,29.9,26.790001,29.209999,39479
2020-05-21,29.58,29.9,28.190001,29.360001,30869
2020-05-22,29.549999,30,28.9,29.58,28235
2020-05-26,30.120001,31.76,29.51,29.950001,220693
2020-05-27,30.25,30.9,29.01,30.200001,55407
2020-05-28,30.25,30.790001,29.74,29.98,51931
2020-05-29,29.959999,35.75,29.639999,33.549999,178891
2020-06-01,34.330002,38.814999,33.040001,33.990002,93598
2020-06-02,34.439999,34.73,30.4837,31.34,46500
2020-06-03,31.59,34.57,31.17,33.529999,57843
2020-06-04,33.02,35.055,30.355,30.5,48599
