date,open,high,low,close,volume
2020-06-12,26.5,30.469999,25.5,28.5,5807700
2020-06-15,27,32,26.5,28.9,979600
2020-06-16,29.9,30.57,26.700001,29.799999,682200
2020-06-17,29.790001,29.790001,27.799999,29,175600
2020-06-18,28.48,28.48,26.879999,26.98,408200
2020-06-19,27.26,30.299999,27.049999,30.07,298300
2020-06-22,29.42,31.620001,29.42,31.5,157600
2020-06-23,31.379999,35,30.74,31.4,227600
2020-06-24,31.18,31.98,28,28.74,223900
2020-06-25,28.540001,29.75,27.17,28,159800
2020-06-26,27.84,28.863001,26.5,26.620001,141300
2020-06-29,26.610001,27.48,26,27.040001,197600
2020-06-30,27.049999,28.629999,26.799999,28.26,64900
2020-07-01,28.530001,28.719999,25.5,25.870001,712100
2020-07-02,26.120001,28.215,26.120001,26.870001,236000
2020-07-06,27.32,28.209999,27.254999,27.59,50300
2020-07-07,28.33,28.68,26.576,28.1,222500
2020-07-08,28.450001,29,27.5,28.110001,173500
2020-07-09,27.700001,28.799999,26.75,27.25,219800
2020-07-10,27.26,28,26.5,26.940001,204400
2020-07-13,27.030001,28.25,26.895,27.84,176800
2020-07-14,27.950001,28.02,26.700001,27.219999,102600
2020-07-15,27.67,27.84,25.950001,26.360001,108400
2020-07-16,25.959999,26.629999,25.01,25.389999,180000
2020-07-17,25.75,26.325001,23.450001,25.889999,172300
2020-07-20,25.75,26.41,23.059999,23.35,203100
2020-07-21,23.16,24.219999,23.1,23.98,95600
2020-07-22,23.889999,24.450001,23.540001,23.709999,57500
2020-07-23,23.790001,25.620001,23.315001,23.68,89900
2020-07-24,24.110001,25.25,23.49,23.73,63400
2020-07-27,23.58,25.440001,23.405001,25.049999,42400
2020-07-28,25.52,29.92,25.52,28.549999,96200
2020-07-29,28.629999,29.120001,26.209999,27.450001,80700
2020-07-30,27.950001,28.995001,25.995001,28.01,137800
2020-07-31,27.93,29.25,27.405001,28.190001,59200
2020-08-03,28.209999,28.795,27.74,27.969999,177200
2020-08-04,28,28.288,26.18,26.540001,177600
2020-08-05,26.969999,29.9,26.01,28.559999,131200
2020-08-06,28.92,29.35,26.872999,28.299999,91000
2020-08-07,28.469999,29.4,28.07,28.73,129200
2020-08-10,28.879999,30.790001,28.200001,28.41,240000
2020-08-11,27.83,30.93,27.83,29.280001,189500
2020-08-12,29.41,31.99,29.290001,29.870001,162300
2020-08-13,29.629999,30.754999,29.389999,29.389999,101600
2020-08-14,29.43,29.860001,28.67,28.98,122400
2020-08-17,28.93,29.5,28.309999,28.51,129300
2020-08-18,28.4,32,28.4,30.219999,332500
2020-08-19,30.450001,32.049999,28.33,31.129999,114400
2020-08-20,30.870001,32.330002,30,32.279999,84600
2020-08-21,31.969999,32.529999,29.455,30.450001,189900
2020-08-24,30.65,30.65,28.184999,29,105300
2020-08-25,29.1,30,27.879999,28.59,129700
2020-08-26,28.469999,29.33,27.889999,28.610001,76200
2020-08-27,28.5,28.752001,27.931,28.530001,74000
2020-08-28,28.799999,28.99,28.129999,28.52,163200
2020-08-31,29,29.219999,28.264999,28.799999,151300
2020-09-01,28.799999,29.120001,28.48,28.9,99800
2020-09-02,28.809999,29.35,28.674999,29,128300
2020-09-03,29.07,29.235001,28.059999,28.889999,75600
2020-09-04,28.889999,29.115,28.42,28.700001,110000
2020-09-08,28.59,30.74,28.59,30.35,261300
2020-09-09,30.780001,34.990002,30.68,32.939999,232100
2020-09-10,32.869999,36.400002,31.469999,32.32,341500
2020-09-11,32.16,34.959999,31.309999,33.490002,193600
2020-09-14,33.220001,37.188,32.169998,35.939999,255100
2020-09-15,35.790001,37.459999,34.060001,34.669998,138300
2020-09-16,35.369999,37.400002,33.109001,34.389999,261600
2020-09-17,34.310001,34.990002,32.18,33.369999,354800
2020-09-18,33.040001,35.814999,31.77,34.310001,2832700
2020-09-21,33.540001,34.09,32.43,33.18,331700
2020-09-22,33.689999,36.040001,30.969999,33.950001,439700
2020-09-23,33.130001,35.450001,29.76,29.870001,171000
2020-09-24,29.91,30.41,29.25,29.559999,186100
2020-09-25,29.52,30.285,27.83,29.15,198400
