date,open,high,low,close,volume
2017-06-28,14.48,14.7,14,14,2701300
2017-06-29,13.85,13.9,12.71,13.52,1009400
2017-06-30,13.5,14.25,13.143,13.97,114400
2017-07-03,13.94,14,13.085,13.82,7700
2017-07-05,13.78,14.09,13.184,13.99,93700
2017-07-06,14.3,14.3,13.065,13.35,147000
2017-07-07,13.54,13.67,13.05,13.29,33100
2017-07-10,13.29,13.485,13.03,13.27,31200
2017-07-11,13.14,13.829,13.1,13.81,64100
2017-07-12,13.99,14.05,13.61,14.03,35200
2017-07-13,14.15,14.15,13.75,14.1,127000
2017-07-14,14.1,14.25,13.82,14.05,31900
2017-07-17,14.1,14.269,13.85,14.15,149500
2017-07-18,14.01,14.25,13.854,14.15,35000
2017-07-19,14,14.28,13.82,14.25,129500
2017-07-20,14.1,14.232,13.85,14.19,13600
2017-07-21,14.159,14.18,13.95,14.05,33800
2017-07-24,14.08,15.87,14.08,15,230800
2017-07-25,15.01,15.645,15.01,15.01,71800
2017-07-26,15,15.06,14.5,14.99,195100
2017-07-27,15.12,15.25,14.14,15.1,144400
2017-07-28,15,15,14.081,14.61,3400
2017-07-31,14.63,14.95,13.867,14.9,56600
2017-08-01,14.98,15.1,13.831,14.85,59600
2017-08-02,14.95,14.995,14.04,14.8,34500
2017-08-03,15,15,14.092,14.83,53000
2017-08-04,14.73,15.37,14.63,15.01,39900
2017-08-07,15.13,15.13,14.85,15.1,15900
2017-08-08,15.22,15.25,14.83,15.16,42800
2017-08-09,15.25,15.35,14.967,15.23,18800
2017-08-10,15.21,15.21,15.11,15.15,12100
2017-08-11,15.01,15.45,15.01,15.42,15200
2017-08-14,15.5,15.74,15.48,15.74,14200
2017-08-15,15.76,15.76,15.3,15.55,36700
2017-08-16,15.43,15.68,15.08,15.35,52100
2017-08-17,15.2,16.08,15.02,15.62,56600
2017-08-18,15.46,16.25,15.22,16.1,68800
2017-08-21,16.135,16.76,15.648,16.549999,66600
2017-08-22,16.6,16.75,15.75,16.120001,64400
2017-08-23,15.97,16.825001,15.97,16.35,72200
2017-08-24,16.874001,16.874001,15.78,16.120001,80900
2017-08-25,16,16.459999,15.501,15.84,53300
2017-08-28,15.85,16.629999,15.73,16.4,57400
2017-08-29,16.264999,16.780001,16.264999,16.6,35500
