date,open,high,low,close,volume
2021-04-30,18.209999,23.99,15.59,16.1,3452500
2021-05-03,16.49,17,14.683,16.26,372200
2021-05-04,16.040001,16.700001,15.455,16.030001,182200
2021-05-05,16.5,16.591,15.689,15.91,124000
2021-05-06,15.95,16.216,13.03,13.64,420000
2021-05-07,14,14.77,13.81,14.25,165200
2021-05-10,14.59,14.69,13.55,13.87,182200
2021-05-11,13.86,13.99,12.76,12.99,402800
2021-05-12,13,13.21,12.74,12.91,141100
2021-05-13,12.82,13.295,11.23,11.6,192600
2021-05-14,11.5,12.27,11.5,11.63,75200
2021-05-17,11.5,11.97,11.3,11.97,56400
2021-05-18,11.95,12.17,11.41,12.06,216400
2021-05-19,12.09,12.19,11.689,11.88,97100
2021-05-20,11.98,12.32,11.73,11.99,147100
2021-05-21,12.25,12.325,11.91,12.26,229200
2021-05-24,12.44,12.44,11.585,12.18,128200
2021-05-25,12.52,12.91,12.38,12.89,301000
2021-05-26,13.2,13.427,12.7,12.83,196600
2021-05-27,12.94,14.93,12.82,14.63,202400
2021-05-28,14.66,15.25,14.01,14.88,208100
2021-06-01,14.96,15.1,13.61,13.81,59900
2021-06-02,13.99,14.1,13.48,13.64,21300
2021-06-03,13.31,13.64,12.925,12.93,47500
2021-06-04,12.83,13.35,12.36,12.36,52100
2021-06-07,12.55,13.17,12.04,12.14,67300
2021-06-08,12.1,12.42,11.86,11.86,62100
2021-06-09,11.9,12.19,11.9,12.15,55900
2021-06-10,12.13,12.645,12.02,12.55,55800
2021-06-11,12.91,12.91,12.27,12.27,39600
2021-06-14,12.48,12.94,12.42,12.73,372900
2021-06-15,12.7,13.405,12.34,12.85,46300
2021-06-16,13.03,13.67,12.7,13.66,76700
2021-06-17,14.54,15.44,14.459,14.97,153000
2021-06-18,14.77,15.1,14.46,14.52,221900
2021-06-21,14.5,15.455,14.5,15.06,89100
2021-06-22,15.64,15.64,14.55,14.93,62700
2021-06-23,15,15.25,14.74,14.87,41100
2021-06-24,14.94,15.44,14.9,15.21,100800
2021-06-25,15.44,15.44,14.54,14.83,856600
2021-06-28,14.85,15.71,14.8,15.63,330800
2021-06-29,15.79,16.08,15.67,15.9,318300
2021-06-30,16,17.49,15.885,17.440001,234500
2021-07-01,17.5,19.48,17.261,19.23,196300
2021-07-02,19.200001,20.870001,19,20.309999,113200
2021-07-06,20.68,20.749001,17.1,17.43,119000
2021-07-07,17.459999,17.5,15.58,15.67,37600
2021-07-08,16.530001,16.530001,15.01,15.39,34100
2021-07-09,15.37,15.49,14.85,14.87,34400
2021-07-12,14.96,16.02,14.96,15.74,42200
2021-07-13,15.73,16.825001,15.35,15.42,33000
2021-07-14,15.51,15.68,14.75,15.2,63500
2021-07-15,15.56,16.127001,15.245,15.71,47100
2021-07-16,15.82,15.99,15.527,15.89,32100
2021-07-19,15.71,16.899,14.16,16.809999,25300
2021-07-20,16.9,19.98,16.9,19.82,119600
2021-07-21,19.23,20.32,19.049999,19.82,52700
2021-07-22,19.530001,21.67,19.530001,19.99,117500
2021-07-23,19.74,19.74,18.18,18.309999,38800
2021-07-26,18.42,19.57,18.42,19.450001,48700
2021-07-27,19.360001,19.48,18.653,18.860001,39800
2021-07-28,18.934999,18.969999,18.23,18.48,41900
2021-07-29,18.790001,18.790001,17.5,17.67,28900
2021-07-30,17.35,18.110001,17.01,17.42,20600
2021-08-02,17.040001,17.83,16.32,16.559999,49000
2021-08-03,16.549999,16.725,15.27,15.66,50400
2021-08-04,15.89,16.549999,15.89,16.18,17000
2021-08-05,16.18,16.18,15.59,15.71,17600
2021-08-06,15.79,16.209999,15.32,15.43,16600
2021-08-09,15.28,15.49,14.8,14.87,12500
2021-08-10,15.09,15.94,14.83,14.98,12200
2021-08-11,15.06,15.642,14.451,14.97,16200
2021-08-12,15.02,15.37,14.58,15.22,25700
2021-08-13,15.35,15.35,14.26,14.44,13500
2021-08-16,14.22,14.485,13.27,13.89,25100
2021-08-17,13.9,14.95,13.85,14.57,30200
2021-08-18,15.49,17.48,15.109,16.4,56900
2021-08-19,16.389999,17.360001,16.266001,16.98,32500
2021-08-20,16.9,17.139999,16.09,17.030001,11200
2021-08-23,17.389999,18.25,17.040001,18.08,16800
2021-08-24,18,18,16.719999,17.129999,7000
2021-08-25,17.280001,18.5,17.280001,18.32,16300
2021-08-26,18.5,18.559999,16.65,16.969999,9300
2021-08-27,16.84,17.83,16.811001,17.690001,10600
2021-08-30,17.865,17.865,16.6,17.41,7700
2021-08-31,17.01,18.459999,16.27,17.799999,8700
2021-09-01,17.785999,19,17.370001,18.58,8200
2021-09-02,18.454,18.454,17.549999,17.75,16100
2021-09-03,17.370001,18.799999,17.08,17.75,32900
2021-09-07,18.059999,19.719999,17.030001,18.83,38200
2021-09-08,18.870001,18.870001,17.540001,17.67,13900
2021-09-09,17.870001,18.42,17.5,17.5,8900
2021-09-10,18.16,18.879999,17.01,17.049999,24800
