date,open,high,low,close,volume
2019-10-03,11.2,13.84,11.17,13.7,1847200
2019-10-04,13.5,13.8,12.96,13.49,457200
2019-10-07,13.44,14.1,13.17,14,269700
2019-10-08,14,14.28,13.6,13.74,170800
2019-10-09,13.76,13.99,13.01,13.3,119000
2019-10-10,13.31,13.758,12.1,12.67,167600
2019-10-11,12.84,13.163,12.535,12.99,270900
2019-10-14,12.98,14.032,12.6,13.35,55900
2019-10-15,13.7,14.56,12.97,12.98,47500
2019-10-16,13,13.8,12.79,13.12,124100
2019-10-17,13.01,13.98,12.85,13,40100
2019-10-18,13.07,13.65,12.8,13.1,93200
2019-10-21,13.34,13.99,13.1,13.27,190000
2019-10-22,13.3,13.98,13.284,13.73,47500
2019-10-23,13.85,14.15,13.82,13.95,14400
2019-10-24,14.13,14.84,13.76,14.05,55900
2019-10-25,14.21,14.25,13.86,14.05,78800
2019-10-28,14.25,14.695,14,14.27,196100
2019-10-29,14.4,14.555,14.12,14.34,60300
2019-10-30,14.53,14.75,13.6,13.8,147100
2019-10-31,13.91,14.465,13.65,14.4,125500
2019-11-01,14.35,16.091,14.149,15.575,93700
2019-11-04,15.82,16.42,15.57,15.91,86500
2019-11-05,16.129999,16.35,15.5,15.73,45800
2019-11-06,15.9,16.23,15.711,15.76,39000
2019-11-07,15.89,16.110001,15.539,15.76,44400
2019-11-08,15.76,16,15.105,15.2,94100
2019-11-11,15.15,15.95,14.285,15.08,121900
2019-11-12,15.03,15.82,14.75,14.88,59500
2019-11-13,14.79,15.86,14.6,15.19,76600
2019-11-14,15.26,15.61,14.875,15.37,65200
2019-11-15,15.29,16.299999,14.98,15.74,215100
2019-11-18,15.75,17.440001,15.16,16.5,137000
2019-11-19,16.790001,17.41,16.5,16.82,90600
2019-11-20,16.92,17.370001,16.15,16.16,75300
2019-11-21,16.27,16.549999,15.41,16.34,124100
2019-11-22,16.389999,16.5,16,16.299999,35600
2019-11-25,16.445,16.98,16.139999,16.25,79000
2019-11-26,16.299999,16.65,15.75,16.469999,117300
2019-11-27,16.4,16.91,16.106001,16.16,72100
2019-11-29,16.16,16.92,16.16,16.700001,32200
2019-12-02,16.77,17.290001,16.450001,16.93,110300
2019-12-03,16.959999,17.225,15.5,15.74,138200
2019-12-04,15.84,16.1,15.091,15.56,142800
2019-12-05,15.67,15.88,15.2,15.24,167600
2019-12-06,15.75,15.8,15.2,15.44,119300
2019-12-09,15.47,16.18,15,15.7,101200
2019-12-10,15.7,16.690001,15.7,15.88,99900
2019-12-11,15.94,17.700001,15.54,16.790001,227800
2019-12-12,16.91,20.49,16.9,18.73,315200
2019-12-13,18.950001,19.82,18.450001,18.48,146200
2019-12-16,18.67,18.875,17.68,17.92,127600
2019-12-17,17.879999,18.249001,17.120001,17.25,101700
2019-12-18,17.26,18.084999,17.18,17.540001,75100
2019-12-19,17.540001,18.799999,17.540001,18.17,105200
2019-12-20,18.41,20.379999,17.204,17.309999,995400
2019-12-23,17.459999,18.82,17.459999,18.030001,217600
2019-12-24,18.030001,18.365,17.764999,18.17,39600
2019-12-26,18.200001,19.370001,18.040001,18.620001,107700
2019-12-27,18.66,19.1,17.879999,18.34,75100
2019-12-30,18.49,18.49,17.530001,17.950001,65300
2019-12-31,17.879999,18.700001,17.405001,17.530001,70900
2020-01-02,17.620001,18.389999,16.77,17.219999,91700
2020-01-03,17.309999,17.940001,16.52,16.67,222900
2020-01-06,16.959999,17.450001,16.5,17.219999,159800
2020-01-07,17.25,17.365,16.76,17.24,172400
2020-01-08,17.309999,18.57,17.1,18.219999,121400
2020-01-09,18.370001,18.450001,17.799999,18.139999,454900
2020-01-10,18.25,18.549999,17.965,18.42,115700
2020-01-13,18.459999,20.299999,18.290001,20.190001,264200
2020-01-14,20.190001,22,19.84,21.82,120000
2020-01-15,22,24.67,21.899,23.049999,134900
2020-01-16,23.389999,25.26,22.5,25.16,213100
2020-01-17,25.360001,26.4,24.049999,24.76,259600
2020-01-21,25,27.570999,25,26,169800
2020-01-22,26.940001,27.08,24.5,24.969999,183400
2020-01-23,25.16,26.379999,23.030001,23.129999,73300
2020-01-24,23.129999,23.458,21.700001,22.309999,79200
2020-01-27,21.889999,22.879999,21.462999,22.120001,78400
2020-01-28,22.389999,23.969999,22.200001,22.870001,93300
2020-01-29,22.98,23.601,22.01,22.48,90900
2020-01-30,22.32,23.940001,22.049999,23.66,224600
2020-01-31,23.620001,25.1,23.17,23.91,144100
2020-02-03,24.030001,27.200001,23.809999,26.639999,176800
2020-02-04,26.5,28.780001,25.731001,26.75,162400
2020-02-05,26.879999,27.84,26.85,27.549999,144400
2020-02-06,27.450001,27.610001,24.77,24.93,93200
2020-02-07,24.75,26.99,24,26.190001,118600
2020-02-10,26.08,26.805,24.76,25.299999,135700
2020-02-11,25.66,26.809999,24.93,25.51,67300
2020-02-12,25.440001,26.07,24.91,25.049999,63000
2020-02-13,24.9,25,23.52,24.59,87800
2020-02-14,24.700001,24.764999,23.576,24.15,90100
2020-02-18,24.32,24.49,23.889999,24.040001,54800
2020-02-19,24.1,24.41,23.049999,23.68,116900
2020-02-20,23.6,24.450001,23.063,23.32,111200
2020-02-21,23.209999,24.799999,23.049999,24.59,46000
2020-02-24,23.76,24.190001,23.15,23.41,78400
2020-02-25,23.549999,24.489,22.5,22.83,80800
2020-02-26,22.92,23.629999,22.129999,23.549999,42800
2020-02-27,23.24,23.700001,21.65,21.700001,89600
2020-02-28,21.08,21.84,20.110001,21.66,133900
2020-03-02,21.74,22.15,20.51,21.200001,61600
2020-03-03,21.33,21.450001,20,20.33,86100
2020-03-04,21,24.607,20.66,21.809999,137500
2020-03-05,21.5,23.917999,19.51,20.1,87600
2020-03-06,19.5,20.837999,19.5,20.68,46000
2020-03-09,19.5,20.42,18.879999,19.01,102300
2020-03-10,19.93,19.93,18.299999,18.93,76000
2020-03-11,18.26,18.9,18,18.51,106400
2020-03-12,17.01,17.59,16.297001,16.73,165100
2020-03-13,17.360001,18.875999,16.09,17.51,148900
2020-03-16,16.75,17,15.543,16.360001,137600
2020-03-17,16.52,20.24,16.263,20.24,167100
2020-03-18,19.690001,19.690001,16.809999,17.870001,57200
2020-03-19,17.85,19.860001,17.702999,19.17,64700
2020-03-20,18.959999,20.48,18.549999,19.85,109500
2020-03-23,19.4,19.75,17.51,17.74,59300
2020-03-24,18.440001,19.58,16.75,17.17,76900
2020-03-25,17.35,19.65,16.52,19.6,71600
2020-03-26,18.85,22,17.799,21.93,179700
2020-03-27,21.42,21.42,18.52,19.780001,209900
2020-03-30,19.18,21.129999,18.27,21.129999,50600
2020-03-31,20.67,20.934999,17.26,17.809999,236100
2020-04-01,17.6,18.355,14.85,14.95,270400
2020-04-02,15.16,16.5,14.87,15.32,244800
2020-04-03,15.32,16.09,14.92,15.22,132300
2020-04-06,15.62,16.66,14.7,15.73,136400
2020-04-07,15.97,16.24,15,15.29,95000
2020-04-08,15.68,15.68,14.7,15.1,211500
2020-04-09,15.62,15.62,14.5,15.02,135100
2020-04-13,14.93,15.695,14.84,15.12,45100
2020-04-14,15.49,16.049999,14.975,15.81,143800
2020-04-15,16,16.077,14.73,15.2,89100
2020-04-16,15.41,15.75,14.8,15.1,114200
2020-04-17,15.58,16.120001,14.75,16,214400
2020-04-20,16,16.299999,15.01,15.25,118900
2020-04-21,15.02,15.416,14.57,14.65,132300
2020-04-22,14.8,15.2,14.5,15.1,99400
2020-04-23,15.11,16.5,15.11,15.87,108700
2020-04-24,15.92,16.75,15.79,16.379999,90200
2020-04-27,16.59,16.59,15.48,15.48,90100
2020-04-28,15.76,17.02,15.25,16.68,184100
2020-04-29,16.99,17.59,16.85,17.049999,150100
2020-04-30,16.809999,16.83,15.54,15.91,60700
2020-05-01,15.72,15.72,15.06,15.47,106200
2020-05-04,15.39,15.77,15.05,15.35,75200
2020-05-05,15.35,16.98,15.31,16,103500
2020-05-06,16.23,16.99,15.58,16.18,68600
2020-05-07,16.41,17.799999,15.92,17.52,158800
2020-05-08,17.84,18.690001,17.049999,18.040001,179900
2020-05-11,17.82,18.59,17.82,18.26,82800
2020-05-12,18.51,18.51,16.34,16.610001,134500
2020-05-13,16.6,17.219999,15.8,17.18,108000
2020-05-14,17.549999,17.940001,16.139999,16.99,111900
2020-05-15,17.17,20.09,16.98,19.469999,247200
2020-05-18,19.16,19.799,18.6,19,347800
2020-05-19,18.940001,19,18.01,18.059999,99600
2020-05-20,18.23,19.59,18.1,19.4,143500
2020-05-21,18.302,19.4,18.049999,19.25,209700
2020-05-22,19.309999,20,18.969999,19.719999,318100
2020-05-26,19.52,20,16.700001,17.370001,347200
2020-05-27,17.620001,18.559999,17.186001,18.129999,184800
2020-05-28,18.450001,18.889999,17.950001,18.1,168700
2020-05-29,18.51,18.639999,17.879999,18.559999,181400
2020-06-01,18.540001,18.74,17.42,17.540001,159400
2020-06-02,17.620001,19,17.548,18.639999,191300
2020-06-03,18.950001,19.225,18.030001,18.459999,95500
2020-06-04,18.49,19,18.02,18.82,137400
2020-06-05,18.950001,19.25,18.52,18.799999,168300
2020-06-08,19.08,19.5,18.549999,19.26,287800
2020-06-09,19.4,20,19.1,19.879999,348400
2020-06-10,19.77,20.299999,19.608999,19.809999,382600
2020-06-11,19.200001,20.17,18.299999,18.629999,195700
2020-06-12,19.290001,20.389999,18.882,19.93,317500
2020-06-15,19.84,20.75,19.450001,20.049999,460900
2020-06-16,20.530001,20.790001,19.65,20.549999,327400
2020-06-17,20.5,21.309999,20.01,20.799999,569000
2020-06-18,20.620001,22.84,20.42,22.299999,504400
2020-06-19,22.610001,23.08,21.639999,22.92,541900
2020-06-22,22.57,23.49,22.299999,23.190001,564700
2020-06-23,23.16,23.565001,22.42,22.809999,504200
2020-06-24,22.75,23.24,22.219999,22.559999,300900
2020-06-25,22.65,25.825001,22.57,24.9,497900
2020-06-26,24.99,24.99,22.52,22.950001,3139600
2020-06-29,22.93,23.09,19.629999,21.290001,357200
2020-06-30,21.629999,23.639999,21.57,23.25,255200
2020-07-01,23.280001,23.49,22.049999,22.559999,173500
2020-07-02,22.940001,23.379999,21.75,22.65,116800
2020-07-06,23.01,23.01,21.709999,22.02,151800
2020-07-07,21.51,22.870001,21.51,22.43,72300
2020-07-08,22.450001,23.08,21.702999,22.950001,138700
2020-07-09,23.040001,23.15,22.09,22.959999,111200
2020-07-10,22.99,23.5,22.549999,22.98,95900
2020-07-13,23.23,23.23,20.360001,20.540001,230700
2020-07-14,20.66,21.82,20.08,21.76,154100
2020-07-15,22.139999,22.870001,21.389999,22.65,147400
2020-07-16,22.5,22.5,20.620001,21.469999,141300
2020-07-17,21.379999,22.216999,20.889999,21.530001,84200
2020-07-20,21.26,22,19.700001,21.67,200600
2020-07-21,21.879999,21.879999,20.82,21.5,131600
2020-07-22,21.360001,21.780001,21.030001,21.549999,102300
2020-07-23,21.91,23.370001,21.91,22.780001,129400
2020-07-24,22.530001,22.950001,21.961,22.48,74500
2020-07-27,22.34,22.540001,20.940001,21.92,203500
2020-07-28,21.76,22.459999,21.75,22,122900
2020-07-29,21.950001,22.35,21.25,21.629999,131400
2020-07-30,21.639999,22.1,20.99,22.02,101300
2020-07-31,21.889999,22.26,20.57,21.139999,126300
2020-08-03,21.700001,22,21.309999,21.709999,124700
2020-08-04,21.530001,21.85,21.32,21.709999,48500
2020-08-05,21.950001,22.58,20.700001,21.58,123100
2020-08-06,21.52,21.690001,20.52,21.219999,69300
2020-08-07,21.200001,21.934999,20.65,21.709999,146500
2020-08-10,21.870001,22.875,21.531,22.58,74000
2020-08-11,22.76,24.030001,22.155001,23.58,133100
2020-08-12,23.6,24.290001,22.66,23.190001,164300
2020-08-13,22.98,23.759001,21.639999,21.92,146300
2020-08-14,21.879999,22.4,21.59,21.879999,86700
2020-08-17,21.9,22.639999,21.25,22.6,163700
2020-08-18,22.82,23.200001,22.459999,22.98,97100
2020-08-19,23,23.34,22.76,22.91,110100
2020-08-20,23.01,23.280001,22.5,22.99,74600
2020-08-21,22.98,23.389999,22.620001,22.77,72700
2020-08-24,23.1,23.1,19.719999,20.18,213800
2020-08-25,20.049999,20.440001,19.280001,20.059999,171200
2020-08-26,19.969999,20.635,19.799999,20.16,90600
2020-08-27,20.34,20.68,19.105,19.99,137100
2020-08-28,20.209999,20.209999,19.360001,19.65,59800
2020-08-31,19.440001,19.889999,19.01,19.34,114500
2020-09-01,19.110001,19.311001,17.75,18.08,213400
2020-09-02,17.940001,19.02,17.59,18.99,87900
2020-09-03,18.99,18.99,17.809999,18.15,77200
2020-09-04,18.030001,18.719999,17.309999,17.76,131900
2020-09-08,17.940001,19.610001,17.6,17.9,329400
2020-09-09,18.209999,19.49,17.98,18.700001,191600
2020-09-10,18.57,19.549999,18.57,18.629999,121800
2020-09-11,18.860001,19.35,18.32,18.91,120000
2020-09-14,19.99,22.75,19.575001,22.43,366600
2020-09-15,22.58,24.700001,22.1,22.5,265100
2020-09-16,22.6,25,22.6,24.370001,261500
2020-09-17,23.99,25.01,23.940001,24.83,216600
2020-09-18,25,26.5,24.290001,24.959999,1294900
2020-09-21,24.51,24.91,23.43,24.27,205900
2020-09-22,23.99,24.27,21.68,22.469999,153900
2020-09-23,22.43,22.465,20.16,20.370001,188100
2020-09-24,20.120001,22.99,20.120001,21.4,138400
2020-09-25,21.4,21.690001,20.27,20.5,147900
2020-09-28,20.450001,20.450001,19.42,19.870001,123900
2020-09-29,19.860001,20,19.1,19.76,64600
2020-09-30,19.67,20,19.059999,19.209999,72500
2020-10-01,18.84,20,18.27,19.879999,225900
2020-10-02,18.92,19.76,18.6,18.65,128200
