date,open,high,low,close,volume
2020-09-25,5.75,5.75,4.35,5,459500
2020-09-28,5,5.08,4.9,4.91,44300
2020-09-29,4.94,4.942,4.066,4.6,124900
2020-09-30,4.75,4.98,4.34,4.6,27000
2020-10-01,4.75,4.79,4.5,4.575,6800
2020-10-02,4.5,4.5,4.25,4.29,17300
2020-10-05,4.31,4.49,4.26,4.28,24900
2020-10-06,4.341,4.5,4.27,4.5,2300
2020-10-07,4.37,4.5,4.37,4.5,3700
2020-10-08,4.47,4.92,4.47,4.9,16200
2020-10-09,5.315,5.315,4.8,5,11200
2020-10-12,5,5,4.755,4.8,4200
2020-10-13,4.5,4.79,4.365,4.48,7900
2020-10-14,4.63,4.79,4.4,4.79,3700
2020-10-15,4.76,4.79,4.4,4.43,4900
2020-10-16,4.57,4.785,4.57,4.785,1500
2020-10-19,4.54,4.79,4.1,4.595,13600
2020-10-20,4.45,4.79,4.25,4.745,6800
2020-10-21,4.33,4.33,4.25,4.32,2900
2020-10-22,4.31,4.41,4.172,4.195,5400
2020-10-23,4.01,4.2,4.01,4.195,3100
2020-10-26,4.12,4.12,4.01,4.06,4200
2020-10-27,4.195,4.195,4,4.061,10300
2020-10-28,4,4,3.82,3.85,4200
2020-10-29,4.04,4.09,3.48,3.67,6400
2020-10-30,3.75,3.92,3.51,3.51,7300
2020-11-02,3.55,3.55,3.417,3.51,5700
2020-11-03,3.49,3.5,3.365,3.5,1900
2020-11-04,3.5,3.69,3.262,3.69,4800
2020-11-05,3.69,3.69,3.65,3.65,3800
2020-11-06,3.61,3.917,3.43,3.885,4500
2020-11-09,4.07,4.19,3.75,4.19,3300
2020-11-10,4.23,4.24,4.23,4.23,1800
2020-11-11,4.2,4.2,4.105,4.19,900
2020-11-12,4.2,4.2,3.8,4.05,5000
2020-11-13,3.68,3.68,3.4,3.475,5600
2020-11-16,3.597,4.6,3.597,4.59,38200
2020-11-17,4.785,5.38,4.12,4.16,36900
2020-11-18,4.5,5.23,4.45,4.98,146900
2020-11-19,4.9,5.4,4.63,5.4,52500
2020-11-20,5.5,5.5,4.9,5.32,34000
2020-11-23,5.32,5.58,5.01,5.49,54500
2020-11-24,5.476,5.476,5.13,5.28,33400
2020-11-25,5.45,5.639,5.13,5.3,31500
2020-11-27,5.217,5.49,5.217,5.351,33800
2020-11-30,5.7,5.7,5.3,5.3,19100
2020-12-01,5.359,5.585,5.01,5.479,8500
2020-12-02,5.346,5.8,5.346,5.6,52500
2020-12-03,5.65,5.65,5.22,5.602,33500
2020-12-04,5.49,5.65,5.25,5.62,13100
2020-12-07,5.75,5.75,5.25,5.39,5700
2020-12-08,5.28,5.317,5.025,5.199,9400
2020-12-09,16.07,158.070007,12.15,57.099998,19193200
2020-12-10,86,128,67.260002,72.220001,9342200
2020-12-11,62,64.25,42.200001,56,3768800
2020-12-14,45.970001,48.5,38.880001,46.799999,1717600
2020-12-15,51.5,65,43,52.900002,4326400
2020-12-16,46.27,52.660999,45.330002,48.689999,715700
2020-12-17,46.68,49.040001,43.369999,44.52,774500
2020-12-18,40,41.77,37.02,38.220001,1625300
2020-12-21,36.599998,41.5,34.400002,36.75,1324600
2020-12-22,38.549999,41.189999,36.209999,37.849998,892800
2020-12-23,38.07,44.98,37.102001,40.07,1256100
2020-12-24,41.950001,41.995998,39.049999,39.279999,263500
2020-12-28,40,40,36.779999,37.400002,365800
2020-12-29,36.689999,37.091999,35,35,272800
2020-12-30,35.09,39.48,35,35.099998,381400
2020-12-31,35.349998,38.5,33.220001,36.470001,389100
2021-01-04,36.23,36.884998,34.330002,34.93,167500
2021-01-05,34.650002,35.450001,33.950001,35,132900
2021-01-06,35,35.5,33.799999,34.450001,205100
2021-01-07,34.799999,45.450001,34.099998,38.09,1144700
2021-01-08,38.240002,38.998001,36.189999,37,226900
2021-01-11,36.599998,36.939999,35.139999,35.709999,186800
2021-01-12,36,36.733002,35.099998,36.130001,175000
2021-01-13,36.349998,36.400002,35.110001,35.75,121400
2021-01-14,35.75,36.700001,35.251999,35.900002,156500
2021-01-15,35.93,43,35.511002,37.450001,694900
2021-01-19,37.93,40.099998,37.02,37.27,259300
2021-01-20,37.549999,38.389999,36.360001,37.299999,172900
2021-01-21,37.66,37.66,36,36.700001,98400
2021-01-22,36.689999,37.549999,35.540001,36.5,175000
2021-01-25,36.41,36.549999,35,36.16,151600
2021-01-26,36.25,41.77,35.681,36.540001,470400
2021-01-27,36.648998,36.950001,33.395,34.189999,343100
2021-01-28,34.25,35.549999,33.5,34.200001,228100
2021-01-29,34.540001,38.959999,34.200001,37.5,421800
2021-02-01,37.48,38.279999,35.599998,35.919998,201200
2021-02-02,36.540001,39.5,35.5,36.439999,304400
2021-02-03,37.689999,43.701,37.237999,39.630001,807000
2021-02-04,41.400002,41.966,37.099998,38.07,297600
2021-02-05,38.68,39.450001,37.52,37.990002,191400
2021-02-08,37.98,38.299999,36.75,37.799999,322900
2021-02-09,38.459999,39.68,37.285999,38.82,298300
2021-02-10,38.400002,38.740002,36.400002,36.720001,213200
2021-02-11,37,39.990002,36.290001,39.98,404800
2021-02-12,39.93,41.5,38.5,39.040001,311700
2021-02-16,39.099998,39.93,37.619999,37.66,162100
2021-02-17,37.790001,38.869999,37.25,38.68,106800
2021-02-18,38.02,38.810001,37.060001,37.900002,118100
2021-02-19,37.91,38.490002,35.77,36,199000
2021-02-22,37.27,37.576,35.310001,35.330002,159900
2021-02-23,34.599998,34.599998,31.291,33.060001,238800
2021-02-24,33.110001,33.952999,32.25,33.68,103700
