date,open,high,low,close,volume
2019-03-18,12.5,12.5,12.5,12.5,9100
2019-03-19,13.514,13.514,13.514,13.514,100
2019-03-20,13.514,13.514,13.514,13.514,0
2019-03-21,13.81,13.81,13.81,13.81,200
2019-03-22,14.496,14.496,14.496,14.496,400
2019-03-25,15.19,19.450001,15.19,19,600
2019-03-26,20.879999,21.030001,20.879999,21.030001,400
2019-03-27,21.030001,21.030001,21.030001,21.030001,100
2019-03-28,21.030001,21.030001,21.030001,21.030001,100
2019-03-29,21.030001,21.030001,21.030001,21.030001,0
2019-04-01,22.85,22.85,22.85,22.85,700
2019-04-02,19.52,21,13.9,14.49,335800
2019-04-03,14.64,17.969999,14.4,17.969999,431700
2019-04-04,18.280001,19.346001,16.07,17.23,287600
2019-04-05,17.5,18.125,14.595,16.27,696100
2019-04-08,16.27,16.879999,15.16,16.549999,967900
2019-04-09,16.059999,18.290001,16.059999,17.9,481500
2019-04-10,19.639999,19.639999,17.51,18.459999,537400
2019-04-11,18.83,19.66,17.540001,18.120001,312600
2019-04-12,17.870001,19.889999,17.620001,18.290001,310000
2019-04-15,18,18.870001,17.08,17.639999,331100
2019-04-16,17.9,18.620001,15.82,17.01,77100
2019-04-17,17.190001,18.309999,16.07,16.23,126500
2019-04-18,16.24,16.985001,15.01,15.56,138400
2019-04-22,15.75,16.18,15.25,15.56,76600
2019-04-23,15.54,15.92,15.25,15.49,176200
2019-04-24,15.58,17.415001,15.365,15.51,118900
2019-04-25,15.43,15.82,15.235,15.43,87500
2019-04-26,15.42,16.5,15.255,15.5,66500
2019-04-29,15.61,15.76,15.25,15.4,46000
2019-04-30,15.35,15.83,15.04,15.23,187900
2019-05-01,15.32,15.73,15.12,15.2,210400
2019-05-02,15.21,15.55,15.08,15.3,84700
2019-05-03,15.45,16.818001,15.1,15.3,83400
2019-05-06,15.2,17.190001,15.2,16.610001,53300
2019-05-07,16.42,16.42,15.11,15.34,92300
2019-05-08,15.38,16.879999,15.31,15.86,112300
2019-05-09,15.8,16.34,15.13,16.23,105500
2019-05-10,16,17.459999,15.6,16.639999,119500
2019-05-13,15.66,15.69,14.75,15.08,71300
2019-05-14,14.86,15.13,14.69,14.77,142800
2019-05-15,14.68,14.86,13.495,14.32,277800
2019-05-16,14.43,15.12,14.14,14.71,247300
2019-05-17,14.52,14.98,14.27,14.61,96900
2019-05-20,14.47,15.31,14.47,14.72,125700
2019-05-21,14.94,15.73,14.59,15.31,257800
2019-05-22,15.3,15.51,15.015,15.33,125000
2019-05-23,15.15,15.56,14.83,15.06,98300
2019-05-24,14.8,15.43,14.8,15.15,62600
2019-05-28,15.25,15.34,14.66,15,213700
2019-05-29,14.84,15.15,13.46,14,129800
2019-05-30,13.93,14.56,12.47,13.44,164500
2019-05-31,13.18,14.29,13.18,13.95,77600
2019-06-03,13.93,13.97,11.17,11.34,213500
2019-06-04,11.65,11.909,10.96,11.3,118800
2019-06-05,11.28,11.64,10.265,10.55,606400
2019-06-06,10.58,11.87,10.58,11.22,76000
2019-06-07,11.25,11.71,10,10.12,137000
2019-06-10,10.2,10.63,9.84,9.88,124300
2019-06-11,9.91,10.57,9.42,9.69,149600
2019-06-12,9.71,10.4,9.2,9.77,161000
2019-06-13,9.82,10.44,9.1,9.6,187600
2019-06-14,9.475,10.205,9.35,9.78,246200
2019-06-17,9.67,10.79,9.06,10.76,180300
2019-06-18,10.85,11.57,10.765,11.49,111600
2019-06-19,11.44,11.947,11.06,11.46,104900
2019-06-20,11.62,12.09,11.35,11.69,146200
2019-06-21,11.65,12.23,10.63,11.12,775400
2019-06-24,11.26,11.91,10.495,10.78,193000
2019-06-25,10.92,12.005,10.55,11.25,138500
2019-06-26,11.25,11.45,10.765,11.1,166600
2019-06-27,11.16,11.72,11.16,11.2,189600
2019-06-28,11.28,11.63,11.01,11.45,1674400
2019-07-01,11.64,12.42,11.28,11.64,219000
2019-07-02,11.62,12.09,11.356,12.04,196700
2019-07-03,12,12.18,11.64,12.18,114000
2019-07-05,12.04,12.32,12,12.15,88100
2019-07-08,12.05,12.24,11.72,11.98,257000
2019-07-09,11.85,12.2,11.82,12,68700
2019-07-10,12.07,12.42,11.94,12.07,85700
2019-07-11,12.09,12.49,11.985,12.21,168100
2019-07-12,12.25,12.73,12.08,12.47,158100
2019-07-15,12.5,12.86,12.23,12.42,88100
2019-07-16,12.32,12.44,11.812,12.24,89100
2019-07-17,12.24,12.48,11.65,11.9,93000
2019-07-18,11.93,12.05,11.72,11.9,175100
2019-07-19,11.86,12.415,11.75,11.98,126700
2019-07-22,11.88,12.25,11.88,12.06,58500
2019-07-23,12.02,12.33,11.651,12.07,54600
2019-07-24,12.03,12.21,11.27,11.42,208500
2019-07-25,11.5,11.75,10.525,10.59,112600
2019-07-26,10.68,10.86,9.72,9.77,109400
2019-07-29,9.79,10.1,9.505,9.67,64400
2019-07-30,9.55,10.25,9.36,9.65,78100
2019-07-31,9.57,10.23,9.12,9.29,167700
2019-08-01,9.23,9.86,9.1,9.2,85300
2019-08-02,9.1,9.1,8.39,8.81,68700
2019-08-05,8.71,9.47,8.14,8.21,40500
2019-08-06,8.28,8.9,8.27,8.59,52700
2019-08-07,8.58,9.34,8.41,8.47,34100
2019-08-08,8.57,8.87,8.27,8.41,94400
2019-08-09,8.38,9.125,8.38,8.8,54600
2019-08-12,8.37,8.91,8.26,8.32,49700
2019-08-13,8.33,8.959,8.33,8.56,42500
2019-08-14,8.36,8.53,8.15,8.35,47300
2019-08-15,8.32,8.505,7.83,8.12,35700
2019-08-16,8.14,9.07,8.14,8.85,117200
2019-08-19,9.09,9.09,8.32,8.93,92000
2019-08-20,8.93,9.18,8.43,8.85,712700
2019-08-21,8.92,10.96,8.28,9.86,110600
2019-08-22,9.82,10.23,9.02,9.16,64800
2019-08-23,9.1,9.64,8.415,8.83,40700
2019-08-26,8.89,9.1,8.81,8.88,71500
2019-08-27,8.96,10.29,8.71,8.79,61500
2019-08-28,8.71,9.27,8.31,9.14,111800
2019-08-29,9.23,10.06,9.23,9.93,65900
2019-08-30,9.92,9.97,9.4,9.51,28800
2019-09-03,9.46,9.76,9.15,9.5,90000
2019-09-04,9.72,10.07,9.28,9.71,68600
2019-09-05,9.9,10.97,9.455,9.94,110300
2019-09-06,10.11,10.65,9.86,10.1,105000
2019-09-09,10.16,11,9.765,10.45,38000
2019-09-10,10.55,11.14,10.45,10.68,116500
2019-09-11,10.71,11.18,10.45,10.65,135100
2019-09-12,10.71,12.23,10.69,11.1,181100
2019-09-13,11.26,11.865,11.14,11.14,87300
2019-09-16,10.96,12.4,10.96,12.3,76600
2019-09-17,12.35,14.32,12.35,13.9,168900
2019-09-18,14.1,14.5,13.52,13.63,104900
2019-09-19,13.6,14.33,12.41,13.9,128100
2019-09-20,13.9,14.83,13.64,14.54,272900
2019-09-23,14.44,14.535,13.74,14.03,78300
2019-09-24,13.93,14.42,13.69,14.08,76600
2019-09-25,14.03,14.476,13.84,13.99,113400
2019-09-26,13.98,14.36,13.74,13.93,122100
2019-09-27,14.02,14.22,13.15,13.25,90800
2019-09-30,13.22,13.75,12.1,12.12,87000
