date,open,high,low,close,volume
2015-06-26,28.5,51.400002,28.110001,51.400002,9079600
2015-06-29,41.950001,43.849998,35.900002,38,2083600
2015-06-30,39.599998,42,39.5,41.5,480200
2015-07-01,42.400002,42.799999,39.799999,39.799999,293000
2015-07-02,39.799999,41.150002,39.509998,40.110001,111200
2015-07-06,40,40.5,37.150002,40.110001,319200
2015-07-07,40,40.900002,38.599998,39.799999,279200
2015-07-08,39.400002,40.91,38.77,39.970001,173100
2015-07-09,40.040001,40.970001,39.52,39.84,60800
2015-07-10,40,41.689999,40,40.900002,87300
2015-07-13,40.799999,44.43,40.799999,42.290001,163300
2015-07-14,42,43.419998,42,42.169998,117000
2015-07-15,42.25,45.200001,42.25,43.740002,103400
2015-07-16,44,47.18,43.182999,46.5,192600
2015-07-17,46.799999,51,43,43.990002,375500
2015-07-20,44.48,45.278,41.099998,42.380001,113200
2015-07-21,41.68,41.709999,37.259998,39.16,263700
2015-07-22,39.450001,41.700001,39.296001,41.07,79500
2015-07-23,41.560001,43,41.07,41.119999,60800
2015-07-24,41.009998,41.009998,37.509998,38.200001,113300
2015-07-27,37.869999,38,34.5,35.049999,218100
2015-07-28,35.25,37.049999,34.799999,36.419998,232100
2015-07-29,36.490002,38,36,37.619999,97000
2015-07-30,38,39.450001,36.952999,38.029999,128800
2015-07-31,38.02,38.57,37.59,37.849998,161600
2015-08-03,37.73,40.720001,36.82,38.91,130200
2015-08-04,38.91,41.5,38.360001,39.110001,49500
2015-08-05,39.299999,41,38.509998,40.509998,73000
2015-08-06,40.52,41.189999,39.540001,40.049999,121200
2015-08-07,39.68,40.5,38,40.049999,78700
2015-08-10,40,40.115002,38.830002,40.07,133600
2015-08-11,39.18,41.549999,39.18,40.02,143900
2015-08-12,39.27,39.93,36.529999,39.360001,113200
2015-08-13,39.439999,40.290001,38.68,40.145,101100
2015-08-14,40.119999,40.650002,37.970001,38.970001,151300
2015-08-17,38.720001,39.389999,38.200001,38.860001,47900
2015-08-18,38.860001,39.259998,37.610001,38.029999,155000
2015-08-19,38.130001,40.98,38,40.400002,165100
2015-08-20,42,44,39,39.290001,581100
2015-08-21,39.09,40.939999,38.103001,40.560001,217800
2015-08-24,39.48,40.580002,37.279999,38.009998,195200
2015-08-25,39.389999,39.75,38.009998,38.5,106300
2015-08-26,39.619999,39.73,37.029999,39.16,187200
2015-08-27,39.470001,41.240002,39.220001,40.490002,138500
2015-08-28,40.150002,41.48,40.080002,41.02,58400
2015-08-31,40.959999,42.560001,40.939999,41.330002,126400
2015-09-01,40.369999,41.98,39.880001,40.970001,115800
2015-09-02,41.82,42.240002,40.750999,42,111500
2015-09-03,42.310001,43.990002,42.009998,43.439999,206000
2015-09-04,43.09,44.5,42.941002,44.259998,91500
2015-09-08,44.5,48.98,44.209999,48.23,297500
2015-09-09,49.220001,52,47.787998,49.490002,266300
2015-09-10,49.400002,49.490002,46.02,47.709999,204300
2015-09-11,47.349998,49.304001,47.305,48.66,110000
2015-09-14,48.970001,49.720001,46.042,46.880001,166200
2015-09-15,47.110001,47.433998,46.080002,46.73,70900
2015-09-16,47,48.990002,46.919998,48.68,156000
2015-09-17,48.43,49.535,47.161999,48.439999,199200
2015-09-18,48.48,49.471001,45,45.720001,652700
2015-09-21,45.91,46.720001,42.775002,43.32,198200
2015-09-22,42.619999,42.619999,38.02,38.599998,437900
2015-09-23,38.509998,40.380001,38,39.669998,319000
2015-09-24,39.23,39.830002,38.57,39.150002,127500
2015-09-25,39.59,39.636002,38,38.349998,296200
2015-09-28,38.349998,38.52,33.66,34.650002,859500
2015-09-29,34.560001,34.560001,27,27,871500
2015-09-30,27.889999,29.83,26.945,29.639999,1665000
2015-10-01,29.65,30.02,25.018,25.83,633400
2015-10-02,25.5,27.440001,25,26.15,408600
2015-10-05,26.84,27.841,26.625999,27.74,337000
2015-10-06,27.27,28.700001,27.27,28.17,407800
2015-10-07,28.18,30.459999,27.695,29.299999,270000
2015-10-08,29.15,29.459999,28.445,29.219999,273800
2015-10-09,29.17,30.690001,29.063,29.799999,136100
2015-10-12,29.870001,30.802,29,29.34,262000
2015-10-13,29.1,30.16,28.75,29.049999,165600
2015-10-14,28.98,29.68,28.32,29.08,99200
