date,open,high,low,close,volume
2020-12-04,48,56.939999,44,56.459999,3393800
2020-12-07,58.09,65.472,52.73,60.939999,959800
2020-12-08,58.290001,64.75,54.349998,62.080002,620100
2020-12-09,61.450001,71.925003,60.900002,66.010002,743600
2020-12-10,66.459999,82.57,63.91,81.110001,1273900
2020-12-11,81.040001,86.129997,72.720001,75.650002,319000
2020-12-14,75.470001,75.470001,64.040001,66.290001,294000
2020-12-15,67.900002,69.989998,64.324997,66.190002,331600
2020-12-16,66.150002,68.239998,65.379997,68.239998,226000
2020-12-17,68.690002,69.470001,65.735001,66.75,107700
2020-12-18,67.389999,67.760002,60.07,60.25,287600
2020-12-21,59.060001,60.25,54.5,56.110001,386200
2020-12-22,57.110001,65.559998,57.110001,63.68,476900
2020-12-23,63.700001,67,58.279999,64.720001,378900
2020-12-24,64.959999,65.709999,61.5,62.040001,87200
2020-12-28,62.970001,64.790001,53.200001,64.400002,355000
2020-12-29,63.990002,63.990002,53.5,55.23,579500
2020-12-30,55.779999,57.52,54.389999,56.509998,463200
2020-12-31,57.099998,57.900002,54.84,56.139999,299600
2021-01-04,56.490002,56.685001,52.09,54.009998,379100
2021-01-05,54.080002,60,50.619999,58.119999,236400
2021-01-06,57.66,59.799999,56.5,57.41,364200
2021-01-07,57.650002,62.669998,57.650002,59.169998,311000
2021-01-08,59.349998,64.720001,59.080002,63.169998,170400
2021-01-11,63.360001,66.455002,61.080002,62.040001,169700
2021-01-12,62.049999,68.25,62.049999,67,452100
2021-01-13,67.029999,75.375,66.349998,72.360001,360600
2021-01-14,72,78,71.989998,75.059998,329800
2021-01-15,75.540001,79.779999,69.150002,79.480003,244900
2021-01-19,79.93,86.550003,79.195,83.769997,270600
2021-01-20,83.769997,84.995003,75.169998,84.059998,208400
2021-01-21,84.93,84.93,80.959999,82.489998,82100
2021-01-22,81.870003,81.870003,76.900002,77.879997,125200
2021-01-25,77.839996,84.599998,76.389999,81.349998,268500
2021-01-26,78.010002,79.129997,70.580002,73.379997,323000
2021-01-27,72.559998,72.940002,67.269997,68.129997,216700
2021-01-28,63.080002,71,61.41,65.760002,1547400
2021-01-29,66.300003,70,62.349998,62.400002,604200
2021-02-01,63.66,65.349998,57.5,60.150002,896100
2021-02-02,60.290001,66,60.200001,62.5,450400
2021-02-03,62.639999,63.700001,61.419998,62.18,269900
2021-02-04,63.450001,67.5,63,65.059998,466500
2021-02-05,64.980003,66.889999,63.02,65.900002,317200
2021-02-08,66,67.455002,62.5,63.459999,411900
2021-02-09,63.599998,65.089996,59.07,60.060001,607400
2021-02-10,60.939999,61.950001,58,60,256100
2021-02-11,60.080002,62.389999,59,59.360001,242100
2021-02-12,59.68,71.889999,59.439999,68.919998,1120100
2021-02-16,70.480003,71.531998,60.52,64.480003,530600
2021-02-17,64.68,64.769997,57.509998,60.09,579300
2021-02-18,60.02,62.900002,57.099998,61.650002,386500
2021-02-19,62.099998,63.880001,60.200001,61.759998,253700
2021-02-22,61.240002,61.240002,56.703999,57.419998,344100
2021-02-23,56.549999,57.419998,50.650002,52.970001,558400
2021-02-24,54.75,56.669998,53.200001,55.630001,461900
2021-02-25,55.459999,55.994999,49,50.790001,511900
2021-02-26,51,51.988998,47.400002,48.23,353000
2021-03-01,49.029999,53.296001,48.119999,51.91,270600
2021-03-02,51.689999,52.299999,49.59,51.439999,270000
2021-03-03,53.119999,53.119999,48.950001,50,429800
2021-03-04,49.419998,51.740002,46.57,50.18,686300
2021-03-05,51.110001,51.57,40.509998,43.290001,1200700
2021-03-08,48.009998,48.009998,38.369999,38.669998,800800
2021-03-09,40.709999,46.125999,40.290001,44.639999,671600
2021-03-10,46.32,49.490002,43.25,43.950001,512400
2021-03-11,46.849998,49.290001,45.73,48.75,436800
2021-03-12,47.700001,51.360001,46.5,51.02,353200
2021-03-15,52.950001,54.799999,51.459999,52.450001,382900
2021-03-16,53.049999,53.744999,49.860001,52.259998,307800
2021-03-17,50.490002,55,49.16,54.720001,398600
2021-03-18,53.07,53.77,47.889999,48.599998,575600
2021-03-19,50.080002,53.91,49.012001,52.619999,2680500
2021-03-22,52.900002,55.09,50.209999,52.540001,606500
2021-03-23,52.84,53.207001,49.57,52.139999,566200
2021-03-24,52.389999,52.389999,45.279999,45.439999,652900
2021-03-25,44.439999,45.810001,40.82,41.740002,579800
2021-03-26,42.73,43.860001,39.799999,40.18,789000
2021-03-29,40.860001,41.833,39.372002,41.049999,654200
2021-03-30,40.650002,45.779999,40.130001,43.240002,1791300
2021-03-31,44.380001,50.659,44.330002,50.02,581400
2021-04-01,52,54.400002,50.59,52.18,641700
