date,open,high,low,close,volume
2019-10-01,6.15,18.799999,6.15,15.09,245300
2019-10-02,14.63,17.879999,14,16.66,410100
2019-10-03,15.25,16.99,14.46,15.35,558700
2019-10-04,15.11,16.540001,14.62,16,752200
2019-10-07,15.94,19.254999,15.84,17.809999,721500
2019-10-08,17.450001,19.16,17.290001,18.629999,666300
2019-10-09,18.629999,21.83,18.629999,20.620001,571700
2019-10-10,20.719999,21.49,19.65,19.9,603300
2019-10-11,19.98,20.57,18.799999,18.969999,390200
2019-10-14,18.809999,19.825001,17.472,18.18,387100
2019-10-15,18.08,18.93,17.555,18.4,281700
2019-10-16,18.299999,19.200001,18.035,18.48,245100
2019-10-17,18.58,18.809999,18.120001,18.27,303800
2019-10-18,18.16,18.99,18,18.209999,292000
2019-10-21,18.41,18.58,18.030001,18.41,240400
2019-10-22,18.18,18.4,17.33,18.049999,553800
2019-10-23,17.870001,19.98,17.32,19.48,175000
2019-10-24,19.58,20.559999,19.049999,19.18,133300
2019-10-25,19.17,20.25,17.830999,18.190001,209800
2019-10-28,18.09,19.160999,17.955,18.09,72800
2019-10-29,17.860001,18.99,17.860001,18.940001,112500
2019-10-30,18.51,19.09,18.09,18.67,47400
2019-10-31,18.65,18.780001,17.32,17.99,523600
2019-11-01,17.969999,20.110001,17.969999,20.07,191200
2019-11-04,20.040001,20.190001,18.280001,20.08,77500
2019-11-05,20.120001,20.9,19.610001,20.059999,261500
2019-11-06,20.049999,21.16,19.51,19.719999,156600
2019-11-07,19.799999,20.385,19.110001,19.190001,159500
2019-11-08,18.91,19.629999,18.57,18.67,105100
2019-11-11,18.530001,19.290001,18.1,18.200001,130400
2019-11-12,18.200001,19.548,17.309999,17.719999,168300
2019-11-13,18.030001,18.75,15.51,16.280001,244400
2019-11-14,16.030001,18.6,15.76,18.540001,180200
2019-11-15,18.66,19.59,17.92,19.469999,87200
2019-11-18,19.450001,22.34,18.5,21.559999,154700
2019-11-19,21.75,23.84,21.256001,23.08,123000
2019-11-20,23,25,22.806,24.719999,139100
2019-11-21,24.9,26.75,24.049999,24.41,223500
2019-11-22,24.51,24.51,22.110001,22.940001,82200
2019-11-25,22.879999,25.153,22.309999,24.459999,104300
2019-11-26,24.450001,25.42,22.219999,22.709999,133600
2019-11-27,22.83,23.549999,22.09,22.76,74200
2019-11-29,22.700001,23.68,22.167999,23.42,36600
2019-12-02,23.48,23.754999,22.620001,23.07,133700
2019-12-03,23.1,24.809999,23,24.58,119600
2019-12-04,24.65,25.445,24.035999,25,157700
2019-12-05,25,25.42,24.719999,25,153700
2019-12-06,25.129999,26.25,24.799999,26.190001,196000
2019-12-09,25.74,26.75,25.299999,26.43,179500
2019-12-10,26.5,28.209999,26.059999,28.139999,131400
2019-12-11,28.02,29.610001,26.9,29.26,164900
2019-12-12,29.5,31.496,29.18,30.655001,242500
2019-12-13,30.6,31.24,29.08,29.41,170000
2019-12-16,29.620001,32.34,29.549999,29.83,269400
2019-12-17,29.57,31.33,29.18,31.07,270100
2019-12-18,31.110001,32.349998,30.645,32.169998,261000
2019-12-19,32.5,33.73,32.5,33.119999,330300
2019-12-20,33.169998,35.57,32.700001,34.919998,945800
2019-12-23,34.810001,35.41,34.16,34.490002,132800
2019-12-24,34.759998,35.990002,34.02,34.59,84100
2019-12-26,34.5,35.747002,34.466999,34.779999,69200
2019-12-27,34.810001,34.869999,28.76,32.18,272500
2019-12-30,32.150002,32.150002,29.83,31.690001,153700
2019-12-31,31.610001,33.209999,31,33.07,113400
2020-01-02,33.02,33.134998,31.469999,32.16,184300
2020-01-03,31.639999,32.709999,31.370001,32.314999,166100
2020-01-06,31.700001,32.580002,31.700001,31.99,128100
2020-01-07,31.879999,32.405998,31.73,31.91,74800
2020-01-08,31.889999,32.220001,31.375,31.52,61300
2020-01-09,31.719999,31.799999,29.85,30.24,86100
2020-01-10,30.18,30.299999,29.49,29.620001,101000
2020-01-13,29.57,30,27.51,28.34,152500
2020-01-14,28.129999,28.24,26.66,26.950001,175900
2020-01-15,25.74,27.91,25.17,27.450001,122500
2020-01-16,27.32,28.24,26.889999,27.34,107000
2020-01-17,27.360001,27.629999,26.889999,27.129999,126200
2020-01-21,26.77,27.219999,26.57,27.110001,90200
2020-01-22,27.16,27.82,26.18,27.33,264400
2020-01-23,27.33,29.25,27.33,28.98,171900
2020-01-24,28.709999,28.98,26.15,26.969999,116300
2020-01-27,26.559999,27.190001,26.299999,26.959999,94000
2020-01-28,27.07,27.278,26.559999,26.68,94600
2020-01-29,26.48,26.6,25.059999,25.360001,71000
2020-01-30,25.049999,27.105,24.09,26.610001,195700
2020-01-31,26.309999,27.24,26.08,26.4,162100
