date,open,high,low,close,volume
2021-03-08,9.9,9.9,9.9,9.9,1000
2021-03-09,9.85,9.9,9.7,9.752,78900
2021-03-10,9.795,9.9,9.71,9.8,191500
2021-03-11,9.89,9.89,9.75,9.85,48600
2021-03-12,9.85,9.9,9.6,9.82,58500
2021-03-15,9.75,9.85,9.7,9.79,31900
2021-03-16,9.81,9.84,9.7,9.77,120200
2021-03-17,9.77,9.84,9.72,9.805,13100
2021-03-18,9.76,9.82,9.75,9.75,32400
2021-03-19,9.773,9.79,9.7,9.74,22500
2021-03-22,9.72,9.77,9.72,9.77,20000
2021-03-23,9.715,9.788,9.65,9.7,130900
2021-03-24,9.64,9.69,9.628,9.65,486800
2021-03-25,9.6,9.7,9.6,9.63,225600
2021-03-26,9.57,9.88,9.57,9.85,15000
2021-03-29,9.73,9.8,9.62,9.73,86700
2021-03-30,9.785,9.785,9.6,9.635,24500
2021-03-31,9.665,9.7,9.63,9.7,27100
2021-04-01,9.739,9.76,9.7,9.75,27900
2021-04-05,9.75,9.791,9.7,9.78,11300
2021-04-06,9.8,9.83,9.75,9.83,280200
2021-04-07,9.73,9.87,9.72,9.87,1700
2021-04-08,9.85,9.85,9.85,9.85,4800
2021-04-09,9.78,9.89,9.76,9.845,34400
2021-04-12,9.85,9.85,9.84,9.84,800
2021-04-13,9.85,9.86,9.79,9.85,3000
2021-04-14,9.79,9.88,9.79,9.85,73900
2021-04-15,9.85,9.85,9.85,9.85,1500
2021-04-16,9.92,9.92,9.85,9.85,200
2021-04-19,9.77,9.82,9.75,9.81,29500
2021-04-20,9.77,9.8,9.62,9.71,151000
2021-04-21,9.74,9.77,9.69,9.74,150800
2021-04-22,9.729,9.75,9.67,9.73,46200
2021-04-23,9.7,9.74,9.67,9.74,85300
2021-04-26,9.75,9.79,9.7,9.79,152800
2021-04-27,9.75,9.79,9.65,9.7,180500
2021-04-28,9.72,9.85,9.7,9.85,98000
2021-04-29,9.81,9.85,9.72,9.85,58100
2021-04-30,9.85,9.85,9.72,9.74,220600
2021-05-03,9.73,9.78,9.66,9.77,97500
2021-05-04,9.73,9.79,9.72,9.79,11300
2021-05-05,9.79,9.81,9.78,9.81,20500
2021-05-06,9.77,9.81,9.77,9.81,5900
2021-05-07,9.81,9.81,9.785,9.81,6600
2021-05-10,9.75,9.78,9.74,9.77,3200
2021-05-11,9.745,9.78,9.7,9.78,12200
2021-05-12,9.78,9.82,9.765,9.82,40500
2021-05-13,9.75,9.81,9.67,9.74,70100
2021-05-14,9.71,9.79,9.7,9.76,351700
2021-05-17,9.73,9.74,9.64,9.7,76300
2021-05-18,9.7,9.7,9.63,9.69,104700
2021-05-19,9.64,9.67,9.62,9.66,22300
2021-05-20,9.68,9.75,9.62,9.63,16600
2021-05-21,9.69,9.7,9.63,9.64,7800
2021-05-24,9.64,9.65,9.62,9.65,68400
2021-05-25,9.64,9.65,9.62,9.63,78500
2021-05-26,9.647,9.67,9.61,9.66,201600
2021-05-27,9.63,9.66,9.63,9.65,106400
2021-05-28,9.63,9.69,9.63,9.67,2100
2021-06-01,9.68,9.72,9.63,9.69,72100
2021-06-02,9.7,9.73,9.7,9.72,87600
2021-06-03,9.71,9.72,9.66,9.7,174900
2021-06-04,9.7,9.7,9.7,9.7,0
2021-06-07,9.69,9.71,9.69,9.71,2000
2021-06-08,9.69,9.71,9.659,9.68,59900
2021-06-09,9.68,9.71,9.68,9.69,115400
2021-06-10,9.7,9.71,9.67,9.71,37000
2021-06-11,9.68,9.73,9.68,9.71,18300
2021-06-14,9.69,9.71,9.66,9.7,8800
2021-06-15,9.7,9.71,9.68,9.7,113100
2021-06-16,9.71,9.71,9.685,9.7,4300
2021-06-17,9.68,9.7,9.68,9.7,2400
2021-06-18,9.71,9.71,9.67,9.7,13100
2021-06-21,9.7,9.71,9.68,9.71,43200
2021-06-22,9.7,9.71,9.7,9.71,1400
2021-06-23,9.66,9.71,9.66,9.69,25200
2021-06-24,9.68,9.7,9.68,9.68,22400
2021-06-25,9.69,9.7,9.68,9.69,8500
2021-06-28,9.68,9.7,9.62,9.7,40300
2021-06-29,9.7,9.72,9.65,9.72,132400
2021-06-30,9.69,9.72,9.67,9.71,13200
2021-07-01,9.69,9.7,9.68,9.7,6500
2021-07-02,9.7,9.73,9.69,9.72,28600
2021-07-06,9.66,9.73,9.66,9.73,12900
2021-07-07,9.711,9.711,9.711,9.711,200
2021-07-08,9.721,9.73,9.71,9.73,3800
2021-07-09,9.71,9.73,9.71,9.72,600
2021-07-12,9.71,9.72,9.71,9.72,3300
2021-07-13,9.72,9.73,9.72,9.73,10600
2021-07-14,9.74,9.74,9.71,9.74,20500
2021-07-15,9.71,9.74,9.71,9.74,230700
2021-07-16,9.74,9.74,9.73,9.74,2300
2021-07-19,9.72,9.88,9.61,9.82,116300
2021-07-20,9.73,9.77,9.71,9.71,500
2021-07-21,9.71,9.75,9.71,9.71,1100
2021-07-22,9.71,9.71,9.71,9.71,0
2021-07-23,9.72,9.73,9.72,9.73,6400
2021-07-26,9.704,9.74,9.68,9.73,66000
2021-07-27,9.699,9.7,9.695,9.7,3800
2021-07-28,9.69,9.73,9.61,9.72,220100
2021-07-29,9.7,9.71,9.64,9.69,141700
2021-07-30,9.7,9.74,9.7,9.73,16900
2021-08-02,9.67,9.74,9.66,9.7,16500
2021-08-03,9.71,9.72,9.68,9.72,26100
2021-08-04,9.66,9.72,9.65,9.68,12800
2021-08-05,9.67,9.74,9.67,9.69,3300
2021-08-06,9.69,9.69,9.69,9.69,0
