date,open,high,low,close,volume
2021-02-19,10.15,10.24,10.07,10.121,1006100
2021-02-22,10.16,10.17,10.09,10.1,547100
2021-02-23,10.14,10.24,9.95,10.24,481000
2021-02-24,10.17,10.19,10.08,10.08,109500
2021-02-25,10.08,10.155,10,10.01,205100
2021-02-26,10.09,10.09,9.96,9.98,211200
2021-03-01,10.09,10.12,10,10.02,422500
2021-03-02,10.05,10.05,9.87,9.87,206900
2021-03-03,9.93,9.93,9.8,9.89,415300
2021-03-04,9.86,9.89,9.8,9.85,202000
2021-03-05,9.865,9.89,9.8,9.88,122800
2021-03-08,9.85,9.95,9.85,9.92,108300
2021-03-09,9.91,9.99,9.85,9.85,63400
2021-03-10,9.88,9.96,9.85,9.96,82500
2021-03-11,9.96,9.96,9.86,9.88,15700
2021-03-12,9.89,9.93,9.85,9.9,33400
2021-03-15,9.92,9.94,9.8,9.83,93000
2021-03-16,9.85,9.94,9.8,9.8,241100
2021-03-17,9.85,9.85,9.715,9.74,172400
2021-03-18,9.75,9.81,9.75,9.76,37100
2021-03-19,9.774,9.81,9.75,9.75,11300
2021-03-22,9.75,9.8,9.75,9.77,10400
2021-03-23,9.795,9.795,9.7,9.71,114500
2021-03-24,9.8,9.83,9.66,9.66,216400
2021-03-25,9.58,9.72,9.51,9.7,56100
2021-03-26,9.76,9.76,9.65,9.68,133400
2021-03-29,9.71,9.74,9.66,9.69,89300
2021-03-30,9.7,9.72,9.68,9.7,150700
2021-03-31,9.71,9.8,9.7,9.76,30800
2021-04-01,9.77,9.83,9.71,9.75,72200
2021-04-05,9.71,9.81,9.71,9.76,69500
2021-04-06,9.77,9.783,9.72,9.76,39400
2021-04-07,9.77,9.794,9.72,9.78,60900
2021-04-08,9.79,9.81,9.74,9.81,76100
2021-04-09,9.82,9.82,9.75,9.8,15200
2021-04-12,9.82,9.82,9.72,9.8,28200
2021-04-13,9.76,9.79,9.76,9.79,79200
2021-04-14,9.809,9.84,9.77,9.82,205000
2021-04-15,9.772,9.85,9.772,9.84,11700
2021-04-16,9.77,9.83,9.77,9.83,22600
2021-04-19,9.84,9.84,9.79,9.81,19900
2021-04-20,9.83,9.83,9.76,9.76,63000
2021-04-21,9.76,9.8,9.72,9.76,199400
2021-04-22,9.75,9.78,9.75,9.78,14900
2021-04-23,9.751,9.79,9.74,9.76,23400
2021-04-26,9.75,9.8,9.74,9.74,10500
2021-04-27,9.75,9.83,9.74,9.83,74600
2021-04-28,9.84,9.84,9.76,9.8,11000
2021-04-29,9.75,9.8,9.75,9.78,29700
