date,open,high,low,close,volume
2021-02-17,10.5,11.12,10.45,10.79,3333000
2021-02-18,10.78,10.79,10.56,10.65,356300
2021-02-19,11,11,10.7,11,103100
2021-02-22,11,11.17,10.64,10.74,137100
2021-02-23,10.56,10.97,10.55,10.97,189600
2021-02-24,10.9,10.99,10.65,10.85,109400
2021-02-25,10.75,10.81,10.55,10.65,148800
2021-02-26,10.63,10.64,10.44,10.64,188400
2021-03-01,10.55,11,10.55,10.58,49800
2021-03-02,10.66,10.66,10.35,10.42,209600
2021-03-03,10.5,10.515,10.25,10.27,65100
2021-03-04,10.26,10.29,10.01,10.29,353100
2021-03-05,10.3,10.32,10.16,10.29,43100
2021-03-08,10.34,10.42,10.12,10.41,161400
2021-03-09,10.66,10.66,10.2,10.22,422400
2021-03-10,10.29,10.36,10.18,10.33,101700
2021-03-11,10.35,10.5,10.21,10.4,34000
2021-03-12,10.37,10.41,10.261,10.39,15900
2021-03-15,10.38,10.465,10.29,10.34,11700
2021-03-16,10.3,10.35,10.2,10.2,81400
2021-03-17,10.21,10.4,10.2,10.2,97600
2021-03-18,10.2,10.22,10.1,10.13,67000
2021-03-19,10.1,10.15,10.05,10.05,58300
2021-03-22,10.05,10.09,10.049,10.075,29200
2021-03-23,10.1,10.1,9.96,9.96,22000
2021-03-24,9.96,10,9.95,9.95,166300
2021-03-25,9.93,9.99,9.92,9.93,7300
2021-03-26,9.957,9.98,9.92,9.92,900
2021-03-29,9.89,10,9.89,9.97,4400
2021-03-30,9.95,9.97,9.9,9.97,182000
2021-03-31,9.92,10,9.92,9.96,15300
2021-04-01,9.985,10,9.98,10,73100
2021-04-05,10,10,9.98,9.99,21500
2021-04-06,9.997,9.997,9.997,9.997,400
2021-04-07,10,10.02,9.98,10,7600
2021-04-08,10.03,10.1,9.98,10.09,20300
2021-04-09,10.05,10.1,10.03,10.05,36600
2021-04-12,10.1,10.1,10.06,10.1,11900
2021-04-13,10.1,10.15,10.1,10.14,12300
2021-04-14,10.15,10.17,10.04,10.17,26200
2021-04-15,10.17,10.17,10.071,10.16,1200
2021-04-16,10.102,10.115,10.093,10.115,3200
2021-04-19,10.1,10.14,10.069,10.13,1900
2021-04-20,10.129,10.129,10.069,10.069,300
2021-04-21,10.065,10.07,10.05,10.07,3300
2021-04-22,10.06,10.07,10.05,10.06,11800
2021-04-23,10.01,10.06,10.01,10.05,9400
2021-04-26,10.01,10.06,10.01,10.06,1700
2021-04-27,10.065,10.09,10.03,10.09,4900
2021-04-28,10.105,10.118,10.105,10.118,1200
2021-04-29,10.149,10.149,10.105,10.13,800
2021-04-30,10.06,10.15,10.05,10.15,87300
2021-05-03,10.13,10.14,10.105,10.105,2500
2021-05-04,10.08,10.15,10.08,10.15,10900
2021-05-05,10.16,10.16,10.06,10.15,34500
2021-05-06,10.09,10.09,10.06,10.06,900
