date,open,high,low,close,volume
1999-01-05,21.666668,21.666668,21.666668,21.666668,1500
1999-01-06,21.666668,21.666668,21.666668,21.666668,0
1999-01-07,21.333332,22.333332,21.333332,21.666668,21600
1999-01-08,21.666668,21.666668,21.666668,21.666668,0
1999-01-11,21.666668,21.666668,21.666668,21.666668,0
1999-01-12,21.666668,21.666668,21.666668,21.666668,0
1999-01-13,21.333332,21.833332,21.333332,21.833332,2700
1999-01-14,21.333332,21.333332,21.333332,21.333332,1200
1999-01-15,21.333332,21.333332,21.333332,21.333332,1200
1999-01-19,21.333332,21.333332,21.333332,21.333332,0
1999-01-20,21.333332,21.333332,21.333332,21.333332,0
1999-01-21,21.333332,21.333332,21.333332,21.333332,600
1999-01-22,21.333332,21.333332,21.333332,21.333332,0
1999-01-25,21.333332,21.333332,21.333332,21.333332,1500
1999-01-26,21.333332,21.333332,21.333332,21.333332,0
1999-01-27,21.333332,21.333332,21.333332,21.333332,0
1999-01-28,21.333332,21.333332,21.333332,21.333332,0
1999-01-29,21.333332,21.333332,21.333332,21.333332,2700
1999-02-01,21.333332,21.333332,21.333332,21.333332,0
1999-02-02,21.333332,21.333332,21.333332,21.333332,0
1999-02-03,21.333332,21.333332,21.333332,21.333332,0
1999-02-04,21.333332,21.333332,21.333332,21.333332,0
1999-02-05,21.333332,21.333332,21.333332,21.333332,0
1999-02-08,21.333332,21.333332,21.333332,21.333332,0
1999-02-09,21.333332,21.333332,21.333332,21.333332,0
1999-02-10,21.333332,21.333332,21.333332,21.333332,0
1999-02-11,21.333332,22,21.333332,22,900
1999-02-12,22,22,22,22,0
1999-02-16,21.333332,21.666668,21.333332,21.666668,900
1999-02-17,21.666668,21.666668,21.666668,21.666668,0
1999-02-18,21.333332,21.833332,21.333332,21.833332,600
1999-02-19,21.833332,21.833332,21.833332,21.833332,0
1999-02-22,21.833332,21.833332,21.833332,21.833332,0
1999-02-23,21.833332,21.833332,21.833332,21.833332,0
1999-02-24,21.833332,21.833332,21.833332,21.833332,0
1999-02-25,21.833332,21.833332,21.833332,21.833332,0
1999-02-26,21.833332,21.833332,21.833332,21.833332,0
1999-03-01,21.833332,21.833332,21.833332,21.833332,0
1999-03-02,21.333332,21.333332,21.333332,21.333332,600
1999-03-03,21.333332,21.333332,21.333332,21.333332,0
1999-03-04,21.333332,21.333332,21.333332,21.333332,0
1999-03-05,21.666668,21.666668,21.666668,21.666668,600
1999-03-08,21.416668,21.416668,21.416668,21.416668,900
1999-03-09,21.666668,21.833332,21.666668,21.833332,36900
1999-03-10,22.166668,22.166668,22.166668,22.166668,3600
1999-03-11,22.166668,22.166668,22.166668,22.166668,0
1999-03-12,22,22,22,22,1200
1999-03-15,22,22,22,22,0
1999-03-16,22,22,22,22,0
1999-03-17,22,22.333332,22,22,2100
1999-03-18,22,22,21.833332,21.833332,2100
1999-03-19,22.166668,22.166668,21.833332,22.083332,2700
1999-03-22,21.833332,21.833332,21.833332,21.833332,600
1999-03-23,21.833332,22,21.833332,22,2100
1999-03-24,22,22,22,22,0
1999-03-25,22,22,22,22,0
1999-03-26,22,22,22,22,0
1999-03-29,22,22,22,22,0
1999-03-30,22,22,22,22,0
1999-03-31,22,22,22,22,0
1999-04-01,21.833332,21.833332,21.833332,21.833332,300
1999-04-05,21.833332,21.833332,21.833332,21.833332,0
1999-04-06,21.833332,21.833332,21.833332,21.833332,0
1999-04-07,21.833332,21.833332,21.833332,21.833332,0
1999-04-08,21.833332,21.833332,21.833332,21.833332,0
1999-04-09,21.5,22,21.5,22,8100
1999-04-12,22,22,22,22,0
1999-04-13,22,22,22,22,0
1999-04-14,22,22,22,22,0
1999-04-15,22,22,22,22,0
1999-04-16,22,22,22,22,0
1999-04-19,22,22,22,22,0
1999-04-20,22,22,22,22,0
1999-04-21,22,22,22,22,0
1999-04-22,21.5,21.5,21.5,21.5,1500
1999-04-23,21.833332,21.833332,21.833332,21.833332,1500
1999-04-26,21.833332,21.833332,21.833332,21.833332,0
1999-04-27,21.5,22.833332,21.5,21.5,2400
1999-04-28,21.5,21.5,21.5,21.5,0
1999-04-29,21.5,21.5,21.5,21.5,0
1999-04-30,21.5,21.5,21.5,21.5,0
1999-05-03,21.5,21.5,21.5,21.5,0
1999-05-04,21.5,21.5,21.5,21.5,0
1999-05-05,21.5,21.5,21.5,21.5,0
1999-05-06,21.5,21.5,21.5,21.5,0
1999-05-07,21.5,21.5,21.5,21.5,0
1999-05-10,21.5,21.833332,21.5,21.833332,1200
1999-05-11,21.833332,21.833332,21.833332,21.833332,0
1999-05-12,21.75,21.833332,21.75,21.833332,3000
1999-05-13,22,22,21.916668,21.916668,2100
1999-05-14,22,22,22,22,600
1999-05-17,22,22,22,22,0
1999-05-18,21.833332,22,21.833332,22,12000
1999-05-19,22,22,22,22,1800
1999-05-20,22,22,22,22,0
1999-05-21,22,22,22,22,0
1999-05-24,22,22,22,22,0
1999-05-25,22,22,22,22,0
1999-05-26,22,22,22,22,0
1999-05-27,22,22,22,22,0
1999-05-28,21.666668,21.666668,21.666668,21.666668,300
1999-06-01,22,22,22,22,300
1999-06-02,22,22,22,22,0
1999-06-03,22,22,22,22,0
1999-06-04,22,22,22,22,0
1999-06-07,22,22,22,22,0
1999-06-08,22,22,22,22,0
1999-06-09,22,22,22,22,0
1999-06-10,22,22,22,22,0
1999-06-11,22,22,22,22,0
1999-06-14,22,22,22,22,0
1999-06-15,22,22,22,22,0
1999-06-16,22,22,22,22,0
1999-06-17,22,22,22,22,2400
1999-06-18,22.166668,22.166668,22.166668,22.166668,1200
1999-06-21,21.833332,21.833332,21.833332,21.833332,600
1999-06-22,21.833332,22,21.833332,22,1200
1999-06-23,22,22,22,22,0
1999-06-24,22.166668,22.333332,21.833332,21.833332,6600
1999-06-25,21.833332,21.833332,21.833332,21.833332,0
1999-06-28,21.833332,21.833332,21.833332,21.833332,0
1999-06-29,21.833332,21.833332,21.833332,21.833332,0
1999-06-30,21.833332,21.833332,21.833332,21.833332,0
1999-07-01,21.833332,21.833332,21.833332,21.833332,0
1999-07-02,21.833332,21.833332,21.833332,21.833332,0
1999-07-06,22,22,22,22,600
1999-07-07,22,22,22,22,0
1999-07-08,22,22,22,22,0
1999-07-09,22.541668,22.541668,22.541668,22.541668,300
1999-07-12,22.541668,22.541668,22.541668,22.541668,0
1999-07-13,22.541668,22.541668,22.541668,22.541668,0
1999-07-14,22.541668,22.541668,22.541668,22.541668,0
1999-07-15,22.541668,22.541668,22.541668,22.541668,0
1999-07-16,23.333332,23.333332,22.833332,22.833332,1800
1999-07-19,22.833332,22.833332,22.833332,22.833332,0
1999-07-20,23.666668,23.666668,23.666668,23.666668,600
1999-07-21,23.666668,23.666668,23.666668,23.666668,0
1999-07-22,23.333332,23.333332,23.166668,23.166668,3600
1999-07-23,23.166668,23.166668,23.166668,23.166668,0
1999-07-26,23.166668,23.166668,23.166668,23.166668,0
1999-07-27,23.166668,23.166668,23.166668,23.166668,0
1999-07-28,23.25,23.666668,23.25,23.333332,40500
1999-07-29,23.166668,23.166668,23.166668,23.166668,300
1999-07-30,23.166668,23.166668,23.166668,23.166668,0
1999-08-02,23.166668,23.166668,23.166668,23.166668,0
1999-08-03,23.166668,23.166668,23.166668,23.166668,0
1999-08-04,23.25,23.666668,23.25,23.666668,13200
1999-08-05,23.583332,23.583332,23.583332,23.583332,2700
1999-08-06,23.583332,23.583332,23.583332,23.583332,0
1999-08-09,23.583332,23.583332,23.583332,23.583332,0
1999-08-10,23.666668,23.666668,23.666668,23.666668,4200
1999-08-11,23.666668,23.666668,23.666668,23.666668,0
1999-08-12,23.666668,23.75,23.666668,23.75,1800
1999-08-13,23.75,23.75,23.75,23.75,0
1999-08-16,23.5,23.5,23.5,23.5,600
1999-08-17,24.166668,24.166668,24.166668,24.166668,600
1999-08-18,24.166668,24.166668,24.166668,24.166668,0
1999-08-19,24.166668,24.166668,24.166668,24.166668,0
1999-08-20,24.166668,24.166668,24.166668,24.166668,0
1999-08-23,24.166668,24.166668,24.166668,24.166668,0
1999-08-24,24.166668,24.166668,24.166668,24.166668,0
1999-08-25,24.166668,24.166668,24.166668,24.166668,0
1999-08-26,24.166668,24.166668,24.166668,24.166668,0
1999-08-27,24.166668,24.166668,24.166668,24.166668,0
1999-08-30,24.166668,24.166668,24.166668,24.166668,0
1999-08-31,24.166668,24.166668,24.166668,24.166668,0
1999-09-01,24.166668,24.166668,24.166668,24.166668,0
1999-09-02,23.5,23.5,23.5,23.5,600
1999-09-03,23.5,23.5,23.5,23.5,0
1999-09-07,23.5,23.5,23.5,23.5,0
1999-09-08,23.666668,23.666668,23.666668,23.666668,600
