date,open,high,low,close,volume
2019-11-04,4.5,4.575,4.125,4.155,34573
2019-11-05,4.2,4.5,4.2,4.38,19360
2019-11-06,4.395,4.5,4.23,4.35,21500
2019-11-07,4.5,4.515,4.065,4.125,12347
2019-11-08,3.9,4.05,3.42,3.6,62853
2019-11-11,3.6,3.6,3,3.3,122493
2019-11-12,3.15,3.6,2.955,3.45,118393
2019-11-13,4.125,4.575,3.45,3.9,289200
2019-11-14,4.185,4.575,4.05,4.575,96853
2019-11-15,4.58,5.2,4.47,4.75,97000
2019-11-18,4.58,5.612,4.58,5.11,155300
2019-11-19,4.889,5.29,4.884,5.14,77800
2019-11-20,5.31,5.432,5.01,5.1,126900
2019-11-21,5.29,5.29,4.58,4.76,105600
2019-11-22,4.7,4.97,4.6,4.66,37300
2019-11-25,4.65,4.95,4.61,4.87,34100
2019-11-26,4.86,5.1,4.655,4.98,43200
2019-11-27,5.09,5.96,5.07,5.58,114900
2019-11-29,5.31,5.85,5.31,5.66,29600
2019-12-02,5.74,6.89,5.712,6.83,163300
2019-12-03,6.52,7.85,6.52,6.75,98900
2019-12-04,6.99,7.47,6.81,7.17,50300
2019-12-05,7.17,7.18,6.754,6.77,32200
2019-12-06,6.77,7.68,6.77,7.52,83100
2019-12-09,7.53,9.85,7.53,9.1,186600
2019-12-10,9.12,9.98,9.12,9.35,75400
2019-12-11,9.66,9.9,9.38,9.44,125600
2019-12-12,9.42,9.42,8.16,8.41,70300
2019-12-13,8.31,8.4,8.1,8.24,26800
2019-12-16,8.24,8.24,7.07,7.4,104000
2019-12-17,7.2,8.149,6.86,7.51,44900
2019-12-18,7.32,7.57,7.22,7.3,45700
2019-12-19,7.27,7.53,7.24,7.24,24100
2019-12-20,7.38,7.59,7.25,7.29,44100
2019-12-23,7.26,7.312,6.83,7.05,41700
2019-12-24,7.07,7.118,7.011,7.03,10200
2019-12-26,7,7.31,6.8,6.8,38400
2019-12-27,6.82,6.988,6.75,6.75,16700
2019-12-30,6.71,7.432,6.7,7.2,30900
2019-12-31,7.18,7.65,6.99,7.58,70200
2020-01-02,7.66,8.44,7.52,8.16,81500
2020-01-03,7.87,8.19,7.405,7.59,63400
2020-01-06,7.6,7.94,7.6,7.76,23700
2020-01-07,7.75,8.708,6.52,6.677,156000
2020-01-08,6.85,7.3,6.6,6.61,50300
2020-01-09,6.6,6.73,5.967,6.56,88600
2020-01-10,6.52,7.164,6.4,6.75,77000
2020-01-13,6.94,7.149,6.46,6.69,75900
2020-01-14,6.69,6.89,6.46,6.69,46400
2020-01-15,6.75,7.08,6.58,7.08,65800
2020-01-16,7.17,7.24,6.73,6.95,72000
2020-01-17,6.99,7.48,6.82,7.05,103300
2020-01-21,7.04,7.18,6.303,7.06,64000
2020-01-22,7.11,7.36,6.89,7.36,36200
2020-01-23,7.26,8.04,7.01,7.4,45600
2020-01-24,7.68,7.68,7.22,7.54,20800
2020-01-27,7.25,7.25,6.6,6.85,36200
2020-01-28,6.93,8,6.78,7.13,13800
2020-01-29,7.25,7.25,6.82,6.96,8000
2020-01-30,7.316,7.316,6.4,6.805,33700
2020-01-31,6.573,6.798,6.3,6.59,25900
2020-02-03,6.68,6.74,6.25,6.65,24500
2020-02-04,6.69,6.7,6.26,6.51,12700
2020-02-05,6.7,6.95,6.53,6.95,7300
2020-02-06,6.94,6.955,6.61,6.93,15700
2020-02-07,6.89,6.93,6.65,6.93,2100
2020-02-10,6.78,6.8,6.4,6.4,7600
2020-02-11,6.6,6.75,6.467,6.63,6600
2020-02-12,6.5,6.7,6.5,6.51,4500
2020-02-13,6.5,6.55,6.5,6.55,1600
2020-02-14,6.513,6.513,6.42,6.43,4300
2020-02-18,6.26,6.57,6.25,6.26,27000
2020-02-19,6.26,6.5,5.91,6.15,16500
2020-02-20,6.37,6.9,6.37,6.57,177100
2020-02-21,6.67,6.75,6.61,6.61,5800
2020-02-24,6.6,6.63,6.445,6.58,41500
2020-02-25,6.725,7.25,6.26,6.4,154100
2020-02-26,6.36,6.72,5.99,6.01,81900
2020-02-27,6.61,8.494,6.33,6.895,306400
2020-02-28,6.42,7.47,6.244,7.21,102300
2020-03-02,7.2,7.77,6.14,7.1,185900
2020-03-03,6.96,7.165,6.49,6.51,65400
2020-03-04,6.877,6.914,6.14,6.44,37300
2020-03-05,6.34,6.67,6.33,6.67,20300
2020-03-06,6.42,6.8,6.11,6.37,12600
2020-03-09,6.2,6.67,5.44,5.71,45100
2020-03-10,5.6,6.25,5.523,5.98,22800
2020-03-11,5.352,5.49,5.074,5.29,31100
2020-03-12,4.72,4.988,3.89,4.07,34700
2020-03-13,4.18,4.51,3.75,4.35,24000
2020-03-16,3.75,3.75,3.21,3.21,31600
2020-03-17,3.39,3.48,3.17,3.48,3900
2020-03-18,3.53,3.68,3.12,3.12,6800
2020-03-19,3.059,4.35,2.86,3.69,8200
2020-03-20,3.92,4.3,3.75,3.75,11000
2020-03-23,3.96,3.98,2.92,3.35,22400
2020-03-24,3.8,4.2,3.66,3.66,20800
2020-03-25,3.66,4.8,3.66,4.61,21800
2020-03-26,4.74,4.851,4.18,4.54,14800
2020-03-27,4.6,4.6,3.93,4.39,8500
2020-03-30,4.449,4.449,3.58,3.61,10200
2020-03-31,4.194,4.55,3.86,4,18300
2020-04-01,4.21,4.21,3.474,3.62,19200
2020-04-02,3.6,3.7,3.44,3.44,2000
2020-04-03,3.31,3.8,3.3,3.8,11400
2020-04-06,4,4.178,3.85,3.92,15400
2020-04-07,4.15,4.15,3.928,3.95,20400
2020-04-08,4.05,4.13,3.854,4.05,13200
2020-04-09,4.05,4.21,4.01,4.01,6800
2020-04-13,4,4.93,4,4.737,30300
2020-04-14,4.75,4.93,4.74,4.81,11800
2020-04-15,4.79,4.89,4.544,4.75,7100
2020-04-16,4.776,5,4.69,4.69,7600
2020-04-17,5,5.5,4.9,5.3,59700
2020-04-20,5.3,5.35,5.23,5.29,5900
2020-04-21,5.26,5.38,4.96,5.04,16600
2020-04-22,5.018,5.04,4.86,4.86,13100
2020-04-23,4.86,5,4.67,4.71,22000
2020-04-24,4.71,4.74,4.627,4.712,4300
2020-04-27,4.713,5.202,4.532,5.12,23800
2020-04-28,5.13,5.133,4.83,5.1,11700
2020-04-29,5.29,5.5,4.97,5.09,25600
2020-04-30,5.47,6.4,5.17,5.4,72100
2020-05-01,5.45,6.01,5.45,5.56,13400
2020-05-04,5.389,5.93,5.389,5.72,5000
2020-05-05,5.75,5.75,5.235,5.658,22300
2020-05-06,5.34,5.61,5.34,5.6,5800
2020-05-07,5.56,5.965,5.48,5.82,3500
2020-05-08,5.78,5.98,5.6,5.81,31500
2020-05-11,5.8,6,5.68,5.68,6900
2020-05-12,5.67,5.92,5.3,5.31,24500
2020-05-13,5.462,5.608,4.77,5.01,20000
2020-05-14,5.26,5.42,5.04,5.395,3900
2020-05-15,5.49,5.53,4.97,5.39,6400
2020-05-18,5.607,5.68,5.513,5.65,4800
2020-05-19,5.67,5.67,5.13,5.46,12900
2020-05-20,5.41,5.72,5.28,5.28,9500
2020-05-21,5.39,5.43,5.13,5.13,2700
2020-05-22,5.24,5.4,5.24,5.36,2100
2020-05-26,5.378,5.46,5.26,5.39,3000
2020-05-27,5.4,5.45,5.08,5.3,10300
