date,open,high,low,close,volume
2020-10-29,20.67,22.190001,20.5,21.700001,21354100
2020-10-30,21,21.98,20.049999,21.969999,2271900
2020-11-02,21.959999,22.049999,21,21.389999,1220400
2020-11-03,21.299999,23.639999,21.299999,22.35,1792500
2020-11-04,22.58,24.98,22.35,24.200001,3632400
2020-11-05,24.42,25.84,24.18,24.559999,974200
2020-11-06,24.299999,25.785,24.190001,24.860001,720100
2020-11-09,24.889999,24.889999,21.41,21.74,1235100
2020-11-10,21.700001,22.540001,21.459999,21.73,837000
2020-11-11,21.809999,23.629999,21.809999,22.57,613200
2020-11-12,22.209999,22.469999,21.610001,21.98,937000
2020-11-13,22.09,22.35,21.379999,21.780001,412800
2020-11-16,21.950001,22.445,21.5,21.690001,281800
2020-11-17,21.58,22.200001,21.379999,21.5,564400
2020-11-18,21.49,22.139999,21.07,21.5,1032100
2020-11-19,21.42,22.305,21.360001,21.91,1200900
2020-11-20,21.76,22.33,21.559999,22,411200
2020-11-23,22.1,22.1,20.08,20.52,1426700
2020-11-24,20.32,20.85,19.15,19.74,1451300
2020-11-25,19.84,20.1,19.629999,19.99,1690900
2020-11-27,20.040001,20.209999,19.545,20,494100
2020-11-30,20.25,20.799999,19.73,20.690001,955200
2020-12-01,20.65,21.200001,20.24,20.879999,1124500
2020-12-02,20.809999,21.25,20.32,21,661800
2020-12-03,20.98,20.98,20.4,20.639999,1195700
2020-12-04,20.75,21.200001,19.75,19.84,1105400
2020-12-07,19.92,20.4,19.888,20.15,848200
2020-12-08,20.049999,20.440001,20.014999,20.1,425400
2020-12-09,20.129999,20.5,19.809999,20.389999,413300
2020-12-10,20.299999,20.85,20.1,20.33,386400
2020-12-11,20.1,20.76,20.030001,20.309999,541600
2020-12-14,20.51,20.610001,19.91,20.450001,806800
2020-12-15,20.59,21.58,20.077999,20.889999,708400
2020-12-16,21.33,22.66,20.940001,22.549999,879200
2020-12-17,22.77,24.25,22.690001,23.65,1194200
2020-12-18,23.469999,24.280001,22.549999,23,5655000
2020-12-21,24.799999,24.85,22.48,23.549999,841100
2020-12-22,23.6,25.93,23.08,25.85,1172400
2020-12-23,26.200001,28.200001,25.889999,28.17,960400
2020-12-24,27.91,28.950001,26.120001,27.48,693400
2020-12-28,27.690001,27.764999,25.860001,26.85,406100
2020-12-29,26.83,28.295,26.815001,27.93,782600
2020-12-30,27.940001,28.07,27.424999,27.459999,478100
2020-12-31,27.42,28.110001,26.860001,27.75,536800
